init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 2.19057765e-01 3.30619e-03 0.00000e+00 9.98339e-05 9.38229e+01
10 1.43636156e+00 3.28342e-03 3.27046e-02 8.81142e-05 9.54709e+01
20 2.98651293e+00 3.18032e-03 6.50196e-02 9.11752e-05 9.67176e+01
30 4.36481140e+00 3.06900e-03 9.65214e-02 9.07509e-05 9.55679e+01
40 6.11323711e+00 2.94932e-03 1.26746e-01 9.85907e-05 9.66985e+01
50 7.74352437e+00 2.91941e-03 1.55888e-01 9.28167e-05 9.80097e+01
60 9.12206659e+00 2.88935e-03 1.85059e-01 9.99991e-05 9.83945e+01
70 1.05095862e+01 2.81162e-03 2.13484e-01 9.25396e-05 9.99568e+01
80 1.19147470e+01 2.76070e-03 2.41124e-01 9.61164e-05 1.01123e+02
90 1.34061708e+01 2.66439e-03 2.68402e-01 9.59510e-05 1.02093e+02
100 1.48566693e+01 2.61284e-03 2.94785e-01 8.73010e-05 1.00807e+02
110 1.62836593e+01 2.43800e-03 3.19608e-01 9.61502e-05 1.04430e+02
120 1.77373786e+01 2.14059e-03 3.42887e-01 9.45335e-05 1.04693e+02
130 1.92075029e+01 2.10813e-03 3.63679e-01 9.72815e-05 1.14152e+02
140 2.06870283e+01 1.81175e-03 3.82480e-01 8.61621e-05 1.07774e+02
150 2.21150971e+01 1.86481e-03 4.00656e-01 9.95695e-05 1.17927e+02
160 2.35274033e+01 1.87275e-03 4.19041e-01 8.97084e-05 1.20956e+02
170 2.49864515e+01 1.41629e-03 4.35124e-01 8.97730e-05 1.19152e+02
180 2.64108386e+01 1.61282e-03 4.50093e-01 9.14689e-05 1.20229e+02
190 2.78610869e+01 1.50581e-03 4.65898e-01 9.97727e-05 1.39338e+02
200 2.92943689e+01 1.45739e-03 4.80902e-01 8.95539e-05 1.33921e+02
210 3.07477532e+01 1.19634e-03 4.94006e-01 9.73762e-05 1.49690e+02
220 3.21047302e+01 1.28890e-03 5.06519e-01 9.41893e-05 1.34926e+02
230 3.35379382e+01 1.36752e-03 5.20252e-01 9.64179e-05 1.25150e+02
240 3.49628141e+01 1.25566e-03 5.33693e-01 9.67003e-05 1.29025e+02
250 3.63687001e+01 1.47806e-03 5.48343e-01 9.59916e-05 1.37054e+02
260 3.77699095e+01 1.43451e-03 5.62360e-01 9.11731e-05 1.25076e+02
270 3.91808620e+01 1.49226e-03 5.76930e-01 9.34165e-05 1.30586e+02
280 4.05772357e+01 1.15187e-03 5.90552e-01 8.96734e-05 1.29322e+02
290 4.19987490e+01 1.32604e-03 6.02357e-01 9.63371e-05 1.38159e+02
300 4.34455722e+01 1.40814e-03 6.15855e-01 9.85971e-05 1.34070e+02
310 4.48290247e+01 1.79278e-03 6.31822e-01 9.98527e-05 1.26420e+02
320 4.62347674e+01 1.70098e-03 6.49154e-01 9.87269e-05 1.28729e+02
330 4.76457695e+01 1.68150e-03 6.65704e-01 8.44154e-05 1.15414e+02
340 4.90268562e+01 1.90780e-03 6.82082e-01 9.78356e-05 1.17183e+02
350 5.04412275e+01 1.69749e-03 7.00614e-01 9.58218e-05 1.23838e+02
360 5.18294258e+01 1.77089e-03 7.18508e-01 8.10518e-05 1.12691e+02
370 5.31919685e+01 1.84405e-03 7.36339e-01 8.06437e-05 1.10342e+02
380 5.46217493e+01 2.00946e-03 7.56000e-01 9.23670e-05 1.12662e+02
390 5.59792022e+01 1.70767e-03 7.75174e-01 9.23243e-05 1.09449e+02
400 5.73236392e+01 2.04207e-03 7.94200e-01 9.02031e-05 1.18496e+02
410 5.87033065e+01 2.07839e-03 8.15250e-01 9.87455e-05 1.07156e+02
420 6.00820725e+01 2.03244e-03 8.36124e-01 9.99556e-05 1.08775e+02
430 6.14478609e+01 2.20668e-03 8.57971e-01 8.42136e-05 1.14414e+02
440 6.28198599e+01 2.17237e-03 8.80201e-01 9.77758e-05 1.12695e+02
450 6.41835336e+01 2.24617e-03 9.02573e-01 8.78455e-05 1.06371e+02
460 6.55086727e+01 2.00327e-03 9.25033e-01 9.20281e-05 1.03452e+02
470 6.69340657e+01 2.34092e-03 9.47140e-01 9.37940e-05 1.05595e+02
480 6.83231436e+01 2.51532e-03 9.71818e-01 9.72812e-05 1.10093e+02
490 6.96691720e+01 2.49684e-03 9.96690e-01 9.38459e-05 1.00908e+02
500 7.09787968e+01 2.40120e-03 1.02210e+00 9.45398e-05 9.56979e+01
510 7.24579631e+01 2.62878e-03 1.04759e+00 9.14549e-05 9.48047e+01
520 7.37820611e+01 2.71659e-03 1.07417e+00 9.42627e-05 9.72678e+01
530 7.51703428e+01 2.85771e-03 1.10181e+00 9.33728e-05 9.60369e+01
540 7.65864007e+01 2.75375e-03 1.12944e+00 9.75028e-05 9.04817e+01
550 7.78724469e+01 2.88212e-03 1.15751e+00 9.09775e-05 9.10641e+01
560 7.92264752e+01 2.98232e-03 1.18641e+00 9.53149e-05 9.00262e+01
570 8.05478011e+01 2.78028e-03 1.21502e+00 9.38853e-05 9.35977e+01
580 8.18457964e+01 3.03707e-03 1.24474e+00 9.82560e-05 8.89752e+01
590 8.31624528e+01 3.06904e-03 1.27453e+00 9.91321e-05 9.01104e+01
600 8.44873360e+01 3.21191e-03 1.30429e+00 9.24633e-05 8.87517e+01
610 8.58642312e+01 3.17852e-03 1.33561e+00 8.80080e-05 8.93671e+01
620 8.72391709e+01 2.84676e-03 1.36646e+00 8.69647e-05 9.24253e+01
630 8.86109735e+01 2.85504e-03 1.39534e+00 9.98647e-05 9.31135e+01
640 8.99992903e+01 3.24138e-03 1.42519e+00 9.75159e-05 1.01152e+02
650 9.13631992e+01 2.95881e-03 1.45648e+00 9.60065e-05 9.36360e+01
660 9.27255331e+01 3.05370e-03 1.48718e+00 8.73901e-05 1.00111e+02
670 9.40789444e+01 3.00073e-03 1.51790e+00 8.37991e-05 9.74366e+01
680 9.54201104e+01 3.07370e-03 1.54823e+00 8.56712e-05 1.06229e+02
690 9.67678709e+01 2.92455e-03 1.57870e+00 9.41322e-05 1.04129e+02
700 9.81418538e+01 2.83023e-03 1.60768e+00 8.03959e-05 1.07354e+02
710 9.95031544e+01 2.77958e-03 1.63564e+00 9.25802e-05 1.16452e+02
720 1.00865903e+02 2.72207e-03 1.66328e+00 9.24691e-05 1.16063e+02
730 1.02238343e+02 2.62912e-03 1.68932e+00 9.80301e-05 1.17989e+02
740 1.03654570e+02 2.40526e-03 1.71463e+00 9.91684e-05 1.21169e+02
750 1.05069421e+02 2.20444e-03 1.73802e+00 9.71558e-05 1.26867e+02
760 1.06485808e+02 2.37420e-03 1.76110e+00 9.33130e-05 1.30491e+02
770 1.07945391e+02 2.26001e-03 1.78391e+00 9.90035e-05 1.31094e+02
780 1.09379455e+02 2.24898e-03 1.80672e+00 9.94028e-05 1.39988e+02
790 1.10774281e+02 2.19027e-03 1.82855e+00 9.78477e-05 1.41290e+02
800 1.12188831e+02 2.17457e-03 1.85036e+00 9.04613e-05 1.38656e+02
810 1.13600995e+02 2.11022e-03 1.87206e+00 9.70965e-05 1.38448e+02
820 1.15045680e+02 1.58502e-03 1.89034e+00 8.80462e-05 1.37239e+02
830 1.16453381e+02 1.88038e-03 1.90940e+00 9.34602e-05 1.28010e+02
840 1.17827671e+02 1.90755e-03 1.92866e+00 8.59611e-05 1.29136e+02
850 1.19288492e+02 2.18314e-03 1.94900e+00 9.30991e-05 1.24172e+02
860 1.20685064e+02 2.08291e-03 1.97012e+00 9.38484e-05 1.17687e+02
870 1.22105916e+02 2.17963e-03 1.99244e+00 9.78684e-05 1.17163e+02
880 1.23537956e+02 2.30174e-03 2.01566e+00 9.78370e-05 1.27347e+02
890 1.24944097e+02 2.22176e-03 2.03756e+00 8.70917e-05 1.20524e+02
900 1.26366745e+02 2.26554e-03 2.06083e+00 9.96671e-05 1.34129e+02
910 1.27750231e+02 2.22116e-03 2.08236e+00 9.30009e-05 1.10713e+02
920 1.29159351e+02 2.49200e-03 2.10635e+00 9.28385e-05 1.12957e+02
930 1.30562005e+02 2.47994e-03 2.13137e+00 9.10750e-05 1.10107e+02
940 1.31923370e+02 2.51599e-03 2.15543e+00 9.52516e-05 1.08782e+02
950 1.33403764e+02 2.35954e-03 2.18027e+00 9.61439e-05 1.25386e+02
960 1.34803419e+02 2.35146e-03 2.20401e+00 9.77501e-05 1.23790e+02
970 1.36154425e+02 2.49807e-03 2.22858e+00 9.37910e-05 1.09817e+02
980 1.37514086e+02 2.43752e-03 2.25271e+00 8.94654e-05 1.08256e+02
990 1.38898027e+02 2.30243e-03 2.27739e+00 9.63867e-05 1.03110e+02
1000 1.40281149e+02 2.78240e-03 2.30214e+00 8.98123e-05 1.03585e+02
1010 1.41648971e+02 2.61981e-03 2.32797e+00 9.33763e-05 1.05317e+02
1020 1.43009180e+02 2.66859e-03 2.35480e+00 9.36144e-05 1.00682e+02
1030 1.44370460e+02 2.71644e-03 2.38111e+00 9.71097e-05 9.82461e+01
1040 1.45719694e+02 2.70740e-03 2.40862e+00 9.94034e-05 9.21944e+01
1050 1.47064048e+02 2.66671e-03 2.43600e+00 9.63687e-05 9.84350e+01
1060 1.48419342e+02 2.88419e-03 2.46304e+00 9.70809e-05 9.94546e+01
1070 1.49812495e+02 2.65101e-03 2.49007e+00 8.95603e-05 9.65812e+01
1080 1.51187095e+02 2.98276e-03 2.51750e+00 9.73407e-05 9.42142e+01
1090 1.52541159e+02 2.68716e-03 2.54570e+00 9.83640e-05 9.68385e+01
1100 1.53877443e+02 2.98908e-03 2.57406e+00 9.78426e-05 9.03445e+01
1110 1.55242897e+02 3.16211e-03 2.60444e+00 9.97623e-05 8.97997e+01
1120 1.56570064e+02 3.03201e-03 2.63532e+00 8.66910e-05 9.78024e+01
1130 1.57921936e+02 3.08583e-03 2.66614e+00 8.41879e-05 9.33182e+01
1140 1.59259805e+02 3.16398e-03 2.69578e+00 9.54721e-05 9.13095e+01
1150 1.60604399e+02 3.24209e-03 2.72766e+00 8.95612e-05 9.19493e+01
1160 1.61944410e+02 3.37823e-03 2.76015e+00 8.62672e-05 8.95910e+01
1170 1.63291890e+02 2.87350e-03 2.79165e+00 9.68437e-05 8.95254e+01
1180 1.64635674e+02 3.10433e-03 2.82297e+00 9.77034e-05 9.11141e+01
1190 1.65992954e+02 2.89670e-03 2.85334e+00 9.62227e-05 1.05348e+02
1200 1.67331286e+02 2.95451e-03 2.88244e+00 9.15110e-05 9.95386e+01
1210 1.68684336e+02 3.03892e-03 2.91307e+00 9.58389e-05 1.02661e+02
1220 1.70061712e+02 3.08411e-03 2.94526e+00 9.16934e-05 1.03941e+02
1230 1.71455423e+02 2.96692e-03 2.97570e+00 8.91070e-05 1.02799e+02
1240 1.72847161e+02 2.85104e-03 3.00548e+00 9.47508e-05 1.06712e+02
1250 1.74221484e+02 2.97334e-03 3.03539e+00 9.29162e-05 1.13761e+02
1260 1.75608568e+02 2.78448e-03 3.06450e+00 9.16348e-05 1.16544e+02
1270 1.77017281e+02 2.74632e-03 3.09318e+00 9.32085e-05 1.14729e+02
1280 1.78418619e+02 2.67522e-03 3.12048e+00 9.61964e-05 1.18614e+02
1290 1.79827550e+02 2.62551e-03 3.14675e+00 9.43121e-05 1.11499e+02
1300 1.81203678e+02 2.48450e-03 3.17173e+00 8.77667e-05 1.15371e+02
1310 1.82614980e+02 2.28885e-03 3.19634e+00 9.30494e-05 1.20673e+02
1320 1.84080152e+02 2.53527e-03 3.22176e+00 9.51283e-05 1.14210e+02
1330 1.85484272e+02 2.55309e-03 3.24691e+00 9.65360e-05 1.15837e+02
