init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
730 1.01658892e+02 2.62912e-03 1.68932e+00 9.80301e-05 1.17989e+02
740 1.03085283e+02 2.40526e-03 1.71463e+00 9.91684e-05 1.21169e+02
750 1.04515101e+02 2.20444e-03 1.73802e+00 9.71558e-05 1.26867e+02
760 1.05981099e+02 2.37420e-03 1.76110e+00 9.33130e-05 1.30491e+02
770 1.07422623e+02 2.26001e-03 1.78391e+00 9.90035e-05 1.31094e+02
780 1.08867976e+02 2.24898e-03 1.80672e+00 9.94028e-05 1.39988e+02
790 1.10301747e+02 2.19027e-03 1.82855e+00 9.78477e-05 1.41290e+02
800 1.11734120e+02 2.17457e-03 1.85036e+00 9.04613e-05 1.38656e+02
810 1.13168906e+02 2.11022e-03 1.87206e+00 9.70965e-05 1.38448e+02
820 1.14581735e+02 1.58502e-03 1.89034e+00 8.80462e-05 1.37239e+02
830 1.15992263e+02 1.88038e-03 1.90940e+00 9.34602e-05 1.28010e+02
840 1.17373908e+02 1.90755e-03 1.92866e+00 8.59611e-05 1.29136e+02
850 1.18772532e+02 2.18314e-03 1.94900e+00 9.30991e-05 1.24172e+02
860 1.20181767e+02 2.08291e-03 1.97012e+00 9.38484e-05 1.17687e+02
870 1.21599327e+02 2.17963e-03 1.99244e+00 9.78684e-05 1.17163e+02
880 1.23009442e+02 2.30174e-03 2.01566e+00 9.78370e-05 1.27347e+02
890 1.24396643e+02 2.22176e-03 2.03756e+00 8.70917e-05 1.20524e+02
900 1.25787377e+02 2.26554e-03 2.06083e+00 9.96671e-05 1.34129e+02
910 1.27172079e+02 2.22116e-03 2.08236e+00 9.30009e-05 1.10713e+02
920 1.28571275e+02 2.49200e-03 2.10635e+00 9.28385e-05 1.12957e+02
930 1.29963677e+02 2.47994e-03 2.13137e+00 9.10750e-05 1.10107e+02
940 1.31347861e+02 2.51599e-03 2.15543e+00 9.52516e-05 1.08782e+02
