================================================================================
HPC^2 EXECUTION PARAMETERS
================================================================================
                       profile: true
                       overlap: true
                           thr: [4]
Default used for parameters:
                           upd: 1
                           soc: 0
                           dev: 1
                           arc: []
                           str: []
                           wgt: []
                           smf: []
--------------------------------------------------------------------------------
 dev[0]: arc=0, thr=4, wgt=1.000000, smf=1
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
 rank 0, part 0: inn 122880, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 393216, ifc 8192, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 126976, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 4096, ifc 0, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 2, ifc 3, hal 0; send 0; swap 0; recv 0
dim_: 1, ncmp: 1, dim: 1
#  ite wclock  ts time  resSolver  max(ux) 
630 8.26225572e+02 2.80899e-03 1.68752e+00 1.31956e-04 1.17523e+02
640 8.38633536e+02 2.99730e-03 1.71646e+00 1.34384e-04 9.42686e+01
650 8.51019991e+02 2.82029e-03 1.74595e+00 1.22831e-04 9.16571e+01
660 8.63294887e+02 2.92789e-03 1.77513e+00 1.27744e-04 1.00046e+02
670 8.75679960e+02 2.56340e-03 1.80368e+00 1.14790e-04 9.59433e+01
680 8.88056354e+02 2.97596e-03 1.83120e+00 1.23873e-04 1.04572e+02
690 9.00676684e+02 2.80849e-03 1.86117e+00 1.17738e-04 8.87654e+01
700 9.13353616e+02 2.72574e-03 1.89093e+00 1.12963e-04 8.87938e+01
710 9.25981366e+02 3.00459e-03 1.91929e+00 1.15993e-04 9.01963e+01
720 9.38732523e+02 3.04416e-03 1.94942e+00 1.20083e-04 8.83914e+01
730 9.51616639e+02 2.99065e-03 1.97903e+00 1.18928e-04 9.48061e+01
740 9.64404719e+02 2.80335e-03 2.00856e+00 1.18179e-04 9.56928e+01
750 9.76869052e+02 2.77502e-03 2.03538e+00 1.04922e-04 8.95718e+01
760 9.89474023e+02 2.67155e-03 2.06355e+00 1.14820e-04 9.83687e+01
770 1.00192569e+03 2.92242e-03 2.08950e+00 1.21267e-04 9.86839e+01
780 1.01445301e+03 2.84104e-03 2.11737e+00 1.21873e-04 9.62337e+01
790 1.02661681e+03 2.58162e-03 2.14243e+00 1.07408e-04 9.14544e+01
800 1.03896506e+03 3.02718e-03 2.16905e+00 1.21114e-04 9.94400e+01
810 1.05037759e+03 2.65269e-03 2.19825e+00 1.13474e-04 9.34999e+01
820 1.06195179e+03 2.87999e-03 2.22593e+00 1.13434e-04 9.27020e+01
