#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.84366079e+02 1.68732362e-01
9.76545766e-03 1.80041913e+00 1.76035559e+02 1.60348353e-01
2.03868308e-02 3.75864004e+00 1.67674671e+02 1.50862000e-01
3.19287199e-02 5.88657289e+00 1.50133187e+02 1.41257343e-01
4.44586130e-02 8.19666014e+00 1.25311085e+02 1.43696892e-01
5.80466159e-02 1.07018270e+01 9.88022516e+01 1.59205953e-01
7.27650869e-02 1.34154137e+01 7.54605431e+01 1.77557368e-01
8.86881595e-02 1.63510882e+01 5.71008424e+01 1.86799241e-01
1.05891143e-01 1.95227349e+01 4.34741228e+01 1.77227817e-01
1.24449787e-01 2.29443192e+01 3.35358976e+01 1.45712952e-01
1.44439395e-01 2.66297249e+01 2.62736903e+01 9.90660512e-02
1.65933788e-01 3.05925619e+01 2.08973761e+01 5.24527108e-02
1.89004103e-01 3.48459454e+01 1.68673252e+01 1.41501391e-02
2.13717431e-01 3.94022447e+01 1.38300902e+01 -2.00917762e-02
2.40135301e-01 4.42728038e+01 1.15338922e+01 -4.44199885e-02
2.68312022e-01 4.94676353e+01 9.76294639e+00 -5.19385143e-02
2.98292904e-01 5.49950930e+01 8.37170095e+00 -4.77675308e-02
3.30112398e-01 6.08615284e+01 7.25819732e+00 -3.73917092e-02
3.63792187e-01 6.70709389e+01 6.35091190e+00 -3.71027667e-02
3.99339287e-01 7.36246183e+01 5.61112308e+00 -4.33979839e-02
4.36744233e-01 8.05208216e+01 4.97513947e+00 -4.54262527e-02
4.75979406e-01 8.77544566e+01 4.41843872e+00 -4.06493172e-02
5.16997593e-01 9.53168189e+01 3.92586963e+00 -3.09771798e-02
5.59730861e-01 1.03195384e+02 3.49449948e+00 -2.28926213e-02
6.04089831e-01 1.11373673e+02 3.10181598e+00 -1.98130410e-02
6.49963418e-01 1.19831207e+02 2.73668596e+00 -6.40332639e-03
6.97219115e-01 1.28543554e+02 2.36511395e+00 8.83851668e-03
7.45703856e-01 1.37482496e+02 1.98039115e+00 1.38128984e-02
7.95245476e-01 1.46616290e+02 1.57858874e+00 3.59915114e-03
8.45654784e-01 1.55910056e+02 1.18894995e+00 -7.94369193e-03
8.96728184e-01 1.65326259e+02 7.84515761e-01 -1.46804282e-02
9.48250800e-01 1.74825282e+02 4.00121174e-01 -2.60542774e-02
1.00000000e+00 1.84366079e+02 -1.82567539e-02 -3.69447099e-02
1.05174920e+00 1.93906876e+02 -4.02129660e-01 -4.83650864e-02
1.10327182e+00 2.03405898e+02 -8.35568986e-01 -5.17676933e-02
1.15434522e+00 2.12822101e+02 -1.21048072e+00 -5.97861774e-02
1.20475452e+00 2.22115867e+02 -1.63764532e+00 -6.20649086e-02
1.25429614e+00 2.31249662e+02 -2.01128823e+00 -5.49687979e-02
1.30278088e+00 2.40188603e+02 -2.40780926e+00 -4.09877119e-02
1.35003658e+00 2.48900951e+02 -2.74094151e+00 -2.30120939e-02
1.39591017e+00 2.57358484e+02 -3.16654559e+00 -3.22897489e-03
1.44026914e+00 2.65536773e+02 -3.50690339e+00 1.65232560e-02
1.48300241e+00 2.73415338e+02 -4.00443839e+00 3.72904521e-02
1.52402059e+00 2.80977701e+02 -4.39596311e+00 5.06222952e-02
1.56325577e+00 2.88211336e+02 -4.95333220e+00 4.66496118e-02
1.60066071e+00 2.95107539e+02 -4.85666376e+00 3.33214256e-02
1.63620781e+00 3.01661218e+02 -1.54957516e+01 8.70785939e-03
1.66988760e+00 3.07870629e+02 2.08307688e+00 2.95777847e-03
1.70170710e+00 3.13737064e+02 -8.99014621e+00 -7.17635094e-03
1.73168798e+00 3.19264522e+02 -9.54320206e+00 -1.96813850e-02
1.75986470e+00 3.24459353e+02 -1.15141263e+01 -3.78718936e-02
1.78628257e+00 3.29329912e+02 -1.36612790e+01 -6.15832057e-02
1.81099590e+00 3.33886212e+02 -1.67821551e+01 -7.43685715e-02
1.83406621e+00 3.38139595e+02 -2.06421109e+01 -7.51995633e-02
1.85556060e+00 3.42102432e+02 -2.59404007e+01 -6.46466817e-02
1.87555021e+00 3.45787838e+02 -3.30513786e+01 -4.14669948e-02
1.89410886e+00 3.49209422e+02 -4.29037765e+01 -2.60816922e-03
1.91131184e+00 3.52381069e+02 -5.64874875e+01 4.36101764e-02
1.92723491e+00 3.55316743e+02 -7.49729210e+01 8.38944957e-02
1.94195338e+00 3.58030330e+02 -9.87227864e+01 1.15341937e-01
1.95554139e+00 3.60535497e+02 -1.26021599e+02 1.41148647e-01
1.96807128e+00 3.62845584e+02 -1.51839062e+02 1.60369371e-01
1.97961317e+00 3.64973517e+02 -1.70144176e+02 1.72000900e-01
1.99023454e+00 3.66931738e+02 -1.76194066e+02 1.77458354e-01
2.00000000e+00 3.68732157e+02 -1.81641816e+02 1.72695669e-01
