#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.06471682e-01 1.28339689e-01 1.01019456e-04 2.11650048e-02 -1.00735380e-03 -6.06717020e-05 -5.84694014e-07
1.50761442e-02 2.79886479e+00 1.08127270e+00 1.25071121e-03 1.17678633e-01 -1.41768146e-02 -5.09315361e-04 -3.45323036e-06
2.61577753e-02 4.85615389e+00 2.94677716e+00 5.92329296e-03 2.45181601e-01 -6.33993641e-02 -1.24396766e-03 -2.14116194e-06
3.81936665e-02 7.09060001e+00 5.21621435e+00 1.74495406e-02 3.71319998e-01 -1.58661782e-01 -1.88222379e-03 1.35392162e-05
5.12526145e-02 9.51497519e+00 7.14064777e+00 3.80363680e-02 4.87692995e-01 -2.81490184e-01 -1.97768669e-03 4.53332562e-05
6.54058514e-02 1.21425035e+01 8.28820432e+00 6.85781417e-02 5.93913941e-01 -4.04210548e-01 -1.45535850e-03 7.97393585e-05
8.07266232e-02 1.49867831e+01 8.66541851e+00 1.08683024e-01 6.88689043e-01 -5.07673214e-01 -6.42823302e-04 9.75224655e-05
9.72896514e-02 1.80616858e+01 8.49651609e+00 1.56736531e-01 7.69081678e-01 -5.85217604e-01 7.17210202e-05 8.79696123e-05
1.15170465e-01 2.13812335e+01 8.01543379e+00 2.10342390e-01 8.32871653e-01 -6.38632555e-01 5.40913427e-04 5.33561965e-05
1.34444591e-01 2.49594476e+01 7.38763765e+00 2.66678556e-01 8.79714770e-01 -6.72507898e-01 7.47531802e-04 1.12699172e-05
1.55186592e-01 2.88101706e+01 6.71317824e+00 3.22786639e-01 9.10852525e-01 -6.91315027e-01 7.73258880e-04 -3.36575610e-05
1.77468946e-01 3.29468581e+01 6.04814104e+00 3.75773277e-01 9.28421169e-01 -6.98675641e-01 6.13444843e-04 -8.26170700e-05
2.01360767e-01 3.73823409e+01 5.42302935e+00 4.23014546e-01 9.34474268e-01 -6.97304798e-01 3.59960172e-04 -1.12814049e-04
2.26926366e-01 4.21285580e+01 4.85351961e+00 4.62377767e-01 9.30408017e-01 -6.89084455e-01 3.46201851e-04 -1.39856897e-04
