#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.56361820e-01 8.41376391e+01 1.93016497e+00 6.16417463e-01 8.31450137e-01 -4.99266845e-01 1.48498329e-03 -9.22270783e-04
4.96488500e-01 9.15356378e+01 1.74648666e+00 6.09763430e-01 7.96745906e-01 -4.62379459e-01 2.10539703e-03 -8.58627546e-04
5.38364227e-01 9.92561014e+01 1.58333860e+00 6.02884285e-01 7.63848527e-01 -4.23417962e-01 2.92646569e-03 -7.72077920e-04
5.81910346e-01 1.07284529e+02 1.43733775e+00 5.96799493e-01 7.34479495e-01 -3.82473151e-01 3.32042179e-03 -6.59165968e-04
6.27026624e-01 1.15602440e+02 1.30699363e+00 5.92266025e-01 7.10012386e-01 -3.40082941e-01 3.08454347e-03 -6.96044185e-04
6.73591267e-01 1.24187380e+02 1.19228349e+00 5.90036400e-01 6.90369818e-01 -2.96151105e-01 1.80177077e-03 -6.13745012e-04
7.21461485e-01 1.33013025e+02 1.09283966e+00 5.90284385e-01 6.75529462e-01 -2.51064605e-01 5.45432056e-04 -6.31022261e-04
7.70474666e-01 1.42049393e+02 1.00988280e+00 5.92964629e-01 6.66236407e-01 -2.05164137e-01 -8.21018216e-04 -7.39061456e-04
8.20450130e-01 1.51263173e+02 9.45621836e-01 5.96678309e-01 6.61410137e-01 -1.58718498e-01 -1.59637114e-03 -8.08682138e-04
8.71191484e-01 1.60618158e+02 8.98302284e-01 6.00137184e-01 6.58807722e-01 -1.12291067e-01 -1.47312387e-03 -9.77988238e-04
9.22489492e-01 1.70075770e+02 8.67164892e-01 6.02528642e-01 6.57506103e-01 -6.49407310e-02 -1.34865577e-03 -1.09958975e-03
9.74125400e-01 1.79595680e+02 8.52286816e-01 6.03032820e-01 6.56762672e-01 -1.80257574e-02 -7.78816445e-04 -1.14107754e-03
1.02587460e+00 1.89136477e+02 8.53656021e-01 6.01774940e-01 6.54177253e-01 2.90785276e-02 -3.29187210e-04 -1.24922413e-03
1.07751051e+00 1.98656387e+02 8.73195731e-01 5.98456362e-01 6.50745053e-01 7.63196936e-02 -3.73667244e-04 -1.25655010e-03
1.12880852e+00 2.08114000e+02 9.10666211e-01 5.94591566e-01 6.50435981e-01 1.23179143e-01 -7.32770654e-04 -1.27465239e-03
1.17954987e+00 2.17468984e+02 9.65371748e-01 5.90903925e-01 6.54532539e-01 1.70163849e-01 -1.74927774e-03 -1.18887579e-03
1.22952533e+00 2.26682764e+02 1.03768288e+00 5.88045897e-01 6.63007906e-01 2.15970228e-01 -2.68826690e-03 -1.19137903e-03
1.27853851e+00 2.35719132e+02 1.12821588e+00 5.87331232e-01 6.75712655e-01 2.61767753e-01 -3.71293368e-03 -1.15563424e-03
1.32640873e+00 2.44544777e+02 1.23530985e+00 5.88847861e-01 6.92598077e-01 3.06655045e-01 -5.16058940e-03 -1.11230583e-03
1.37297338e+00 2.53129717e+02 1.36171270e+00 5.93931984e-01 7.14650010e-01 3.50763620e-01 -6.88657449e-03 -1.01838445e-03
1.41808965e+00 2.61447629e+02 1.50586930e+00 6.01602755e-01 7.41232545e-01 3.93669801e-01 -7.98191962e-03 -9.12273619e-04
1.46163577e+00 2.69476056e+02 1.67452260e+00 6.12711065e-01 7.71356559e-01 4.36405909e-01 -7.86964131e-03 -7.04144249e-04
1.50351150e+00 2.77196519e+02 1.86648154e+00 6.26649214e-01 8.04463217e-01 4.77522817e-01 -7.45957628e-03 -5.13196568e-04
1.54363818e+00 2.84594518e+02 2.11421613e+00 6.41985878e-01 8.43101923e-01 5.18209252e-01 -7.56320284e-03 -3.32832328e-04
1.58195824e+00 2.91659437e+02 2.45497078e+00 6.71252050e-01 8.85607597e-01 5.63496209e-01 -7.55532703e-03 -3.32362791e-04
1.61843426e+00 2.98384379e+02 4.65802942e+00 7.23943699e-01 9.36453134e-01 6.49587160e-01 -6.41371537e-03 -2.71348897e-04
1.65304771e+00 3.04765924e+02 4.55300241e+01 6.46924360e-01 1.00046933e+00 5.64446681e-01 -2.13702806e-02 -5.53045431e-04
1.68579735e+00 3.10803846e+02 4.28142064e+00 7.21975247e-01 1.00012393e+00 5.78033203e-01 -5.74304455e-03 -5.40912735e-04
1.71669754e+00 3.16500793e+02 3.46117218e+00 6.59457550e-01 1.00926138e+00 6.48320841e-01 -5.19259370e-03 -6.41010347e-04
1.74577634e+00 3.21861938e+02 3.72931266e+00 6.18110157e-01 1.02193798e+00 6.76726486e-01 -3.60620896e-03 -8.20298363e-04
1.77307363e+00 3.26894633e+02 4.09581537e+00 5.81185182e-01 1.02972561e+00 6.91073171e-01 -2.80282631e-03 -9.80959922e-04
1.79863923e+00 3.31608062e+02 4.54381230e+00 5.34127043e-01 1.03236787e+00 7.01644715e-01 -2.51500086e-03 -1.14740927e-03
1.82253105e+00 3.36012904e+02 5.04703886e+00 4.80160329e-01 1.02658643e+00 7.05585345e-01 -2.95940436e-03 -1.21787365e-03
1.84481341e+00 3.40121014e+02 5.60210782e+00 4.18255607e-01 1.01154826e+00 7.01682923e-01 -4.35574462e-03 -1.22063649e-03
1.86555541e+00 3.43945135e+02 6.19007205e+00 3.51263529e-01 9.84752107e-01 6.87868624e-01 -7.02615602e-03 -1.14779214e-03
1.88482953e+00 3.47498630e+02 6.77826327e+00 2.81838655e-01 9.44533488e-01 6.60810214e-01 -9.84802036e-03 -1.00118000e-03
1.90271035e+00 3.50795246e+02 7.29515412e+00 2.13686379e-01 8.88583706e-01 6.15781310e-01 -1.17624610e-02 -7.79654171e-04
1.91927338e+00 3.53848906e+02 7.61271485e+00 1.50631860e-01 8.15036194e-01 5.47274704e-01 -1.23382483e-02 -5.50501249e-04
1.93459415e+00 3.56673537e+02 7.51517662e+00 9.62136296e-02 7.23113515e-01 4.49917428e-01 -1.17049550e-02 -3.79635743e-04
1.94874739e+00 3.59282914e+02 6.73325672e+00 5.35886335e-02 6.12663610e-01 3.25947218e-01 -1.01959173e-02 -2.49002133e-04
1.96180633e+00 3.61690541e+02 5.11827996e+00 2.41676099e-02 4.81691134e-01 1.90748928e-01 -7.83983138e-03 -1.34428345e-04
1.97384222e+00 3.63909551e+02 2.97994651e+00 7.85104524e-03 3.28049429e-01 7.88259171e-02 -4.79571380e-03 -5.43281502e-05
1.98492386e+00 3.65952628e+02 1.09552319e+00 1.23737063e-03 1.61408582e-01 1.61845133e-02 -1.90786478e-03 -1.10110756e-05
1.99511727e+00 3.67831948e+02 1.20231579e-01 4.92519765e-05 2.83787747e-02 6.34861398e-04 -2.26758334e-04 -2.01064604e-07
