#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.00209567e-01 1.29416353e-01 6.34685231e-05 2.86367136e-02 -8.49779101e-04 -1.47179724e-04 -3.87824980e-06
1.50761442e-02 2.77952959e+00 1.09640126e+00 1.27902249e-03 1.58546120e-01 -1.64973268e-02 -8.62238962e-04 -3.69544771e-05
2.61577753e-02 4.82260647e+00 2.94174467e+00 7.74525068e-03 3.19414168e-01 -7.77994015e-02 -1.79880036e-03 -9.82854349e-05
3.81936665e-02 7.04161651e+00 5.04972903e+00 2.34952193e-02 4.68018058e-01 -1.87402735e-01 -2.71447262e-03 -1.13901534e-04
5.12526145e-02 9.44924355e+00 6.67171341e+00 5.17274675e-02 5.95842624e-01 -3.20943173e-01 -2.95084185e-03 -4.15932065e-05
6.54058514e-02 1.20586203e+01 7.48552321e+00 9.25569051e-02 7.05002340e-01 -4.44667856e-01 -2.24216715e-03 7.93034696e-05
8.07266232e-02 1.48832510e+01 7.61462861e+00 1.44696764e-01 7.96646465e-01 -5.42524553e-01 -9.62210664e-04 1.85406913e-04
9.72896514e-02 1.79369115e+01 7.31545995e+00 2.05154181e-01 8.70106604e-01 -6.11547063e-01 3.47405202e-04 2.12061145e-04
1.15170465e-01 2.12335270e+01 6.80277147e+00 2.70532123e-01 9.25602562e-01 -6.56729007e-01 1.26000609e-03 1.01807295e-04
1.34444591e-01 2.47870220e+01 6.20915769e+00 3.37013757e-01 9.64534056e-01 -6.83567404e-01 1.64400018e-03 -1.32462176e-04
1.55186592e-01 2.86111434e+01 5.60725240e+00 4.01148638e-01 9.88674419e-01 -6.96958686e-01 1.32403862e-03 -4.01428393e-04
1.77468946e-01 3.27192536e+01 5.03243122e+00 4.59901573e-01 1.00056782e+00 -7.00185006e-01 2.58729299e-04 -6.22346213e-04
2.01360767e-01 3.71240951e+01 4.50270248e+00 5.10876124e-01 1.00335050e+00 -6.95516276e-01 -5.95848071e-04 -8.17064465e-04
2.26926366e-01 4.18375243e+01 4.02422974e+00 5.52519154e-01 9.98778953e-01 -6.84451519e-01 -4.67513304e-04 -9.87073822e-04
2.54223661e-01 4.68702196e+01 3.59961049e+00 5.84173507e-01 9.87755507e-01 -6.68271428e-01 2.80503323e-05 -1.06252521e-03
2.83302463e-01 5.22313642e+01 3.22746278e+00 6.06041535e-01 9.71545153e-01 -6.47954666e-01 -1.22769683e-05 -1.03518136e-03
3.14202651e-01 5.79283107e+01 2.90209895e+00 6.19019095e-01 9.50945350e-01 -6.23888117e-01 -7.30916837e-04 -9.52630962e-04
3.46952292e-01 6.39662336e+01 2.61595016e+00 6.24824901e-01 9.25766065e-01 -5.96619203e-01 -8.80823294e-04 -8.92600105e-04
3.81565737e-01 7.03477786e+01 2.36226142e+00 6.25218168e-01 8.97049384e-01 -5.66638497e-01 8.18635601e-05 -9.13944056e-04
4.18041760e-01 7.70727200e+01 2.13505477e+00 6.21944148e-01 8.65486150e-01 -5.34125848e-01 8.95109681e-04 -9.02079761e-04
