#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.85402929e+02 -1.10239988e-01
9.76545766e-03 1.81054445e+00 1.76968936e+02 -1.11940028e-01
2.03868308e-02 3.77977813e+00 1.68194334e+02 -1.28482787e-01
3.19287199e-02 5.91967819e+00 1.50318904e+02 -1.50284449e-01
4.44586130e-02 8.24275706e+00 1.25509376e+02 -1.63776787e-01
5.80466159e-02 1.07620126e+01 9.93548090e+01 -1.57838884e-01
7.27650869e-02 1.34908602e+01 7.62394823e+01 -1.33575594e-01
8.86881595e-02 1.64430445e+01 5.79165128e+01 -9.46085890e-02
1.05891143e-01 1.96325281e+01 4.42294807e+01 -4.22080686e-02
1.24449787e-01 2.30733550e+01 3.42379657e+01 1.12838688e-02
1.44439395e-01 2.67794869e+01 2.69715481e+01 4.33142143e-02
1.65933788e-01 3.07646103e+01 2.16845198e+01 4.48818163e-02
1.89004103e-01 3.50419143e+01 1.77596800e+01 3.79407235e-02
2.13717431e-01 3.96238377e+01 1.47304151e+01 4.37263772e-02
2.40135301e-01 4.45217882e+01 1.23327327e+01 6.90688480e-02
2.68312022e-01 4.97458347e+01 1.03571207e+01 1.05750167e-01
2.98292904e-01 5.53043781e+01 8.68261521e+00 1.05592047e-01
3.30112398e-01 6.12038055e+01 7.35863162e+00 8.16450371e-02
3.63792187e-01 6.74481369e+01 6.35640924e+00 5.30218157e-02
3.99339287e-01 7.40386733e+01 5.47718158e+00 2.81187518e-02
4.36744233e-01 8.09736600e+01 4.73139603e+00 4.20507964e-02
4.75979406e-01 8.82479760e+01 4.11693013e+00 1.06612672e-01
5.16997593e-01 9.58528679e+01 3.58584698e+00 1.42141459e-01
5.59730861e-01 1.03775741e+02 3.14314911e+00 1.33418903e-01
6.04089831e-01 1.12000024e+02 2.73745221e+00 1.05747688e-01
6.49963418e-01 1.20505121e+02 2.36054685e+00 9.05246280e-02
6.97219115e-01 1.29266466e+02 2.05221383e+00 7.28443317e-02
7.45703856e-01 1.38255679e+02 1.67869968e+00 5.99374695e-02
7.95245476e-01 1.47440840e+02 1.35550175e+00 5.21529901e-02
8.45654784e-01 1.56786874e+02 9.98252117e-01 -7.59678248e-03
8.96728184e-01 1.66256032e+02 6.62372888e-01 -4.71681569e-02
9.48250800e-01 1.75808476e+02 3.70515743e-01 -7.26900813e-02
1.00000000e+00 1.85402929e+02 -4.11020232e-02 -1.26989480e-01
1.05174920e+00 1.94997382e+02 -3.89473000e-01 -1.62302486e-01
1.10327182e+00 2.04549826e+02 -6.86437519e-01 -1.18762337e-01
1.15434522e+00 2.14018984e+02 -1.07124260e+00 -3.45879586e-02
1.20475452e+00 2.23365017e+02 -1.33451881e+00 3.29804091e-02
1.25429614e+00 2.32550179e+02 -1.69021184e+00 1.13334600e-01
1.30278088e+00 2.41539392e+02 -2.07640402e+00 1.11577134e-01
1.35003658e+00 2.50300736e+02 -2.32350586e+00 4.38827684e-02
1.39591017e+00 2.58805834e+02 -2.67029688e+00 -4.23112997e-02
1.44026914e+00 2.67030117e+02 -3.02483343e+00 -8.14881825e-02
1.48300241e+00 2.74952990e+02 -3.52767859e+00 -7.98234241e-02
1.52402059e+00 2.82557882e+02 -4.08074061e+00 -6.52554075e-02
1.56325577e+00 2.89832198e+02 -4.69508710e+00 -4.70325252e-02
1.60066071e+00 2.96767184e+02 -5.43449313e+00 -7.65034999e-03
1.63620781e+00 3.03357721e+02 -6.36578791e+00 2.11053325e-02
1.66988760e+00 3.09602052e+02 -7.46031927e+00 -5.54724881e-03
1.70170710e+00 3.15501480e+02 -8.73348995e+00 -9.70412741e-02
1.73168798e+00 3.21060023e+02 -1.03142750e+01 -1.86373153e-01
1.75986470e+00 3.26284069e+02 -1.23146196e+01 -2.63523747e-01
1.78628257e+00 3.31182020e+02 -1.48302482e+01 -3.10143600e-01
1.81099590e+00 3.35763943e+02 -1.80349307e+01 -2.84953790e-01
1.83406621e+00 3.40041247e+02 -2.21635193e+01 -1.94560884e-01
1.85556060e+00 3.44026371e+02 -2.76337588e+01 -7.05680314e-02
1.87555021e+00 3.47732503e+02 -3.49777802e+01 6.04432922e-02
1.89410886e+00 3.51173329e+02 -4.49353845e+01 1.86274640e-01
1.91131184e+00 3.54362813e+02 -5.84912230e+01 2.70639313e-01
1.92723491e+00 3.57314997e+02 -7.66076597e+01 2.86013464e-01
1.94195338e+00 3.60043845e+02 -9.95136269e+01 2.45377576e-01
1.95554139e+00 3.62563101e+02 -1.25472682e+02 1.87003201e-01
1.96807128e+00 3.64886179e+02 -1.50046864e+02 1.42195684e-01
1.97961317e+00 3.67026079e+02 -1.67673177e+02 1.18635809e-01
1.99023454e+00 3.68995313e+02 -1.73693513e+02 1.09814941e-01
2.00000000e+00 3.70805858e+02 -1.79182903e+02 1.09324663e-01
