#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.85893794e+02 3.31082111e-02
9.76545766e-03 1.81533797e+00 1.77597693e+02 3.21234514e-02
2.03868308e-02 3.78978531e+00 1.70346626e+02 3.16954770e-02
3.19287199e-02 5.93535088e+00 1.55021960e+02 3.02253997e-02
4.44586130e-02 8.26458024e+00 1.32417747e+02 2.62702574e-02
5.80466159e-02 1.07905057e+01 1.06962010e+02 1.99314235e-02
7.27650869e-02 1.35265780e+01 8.32199234e+01 1.33653771e-02
8.86881595e-02 1.64865784e+01 6.36494760e+01 8.27276399e-03
1.05891143e-01 1.96845064e+01 4.86202181e+01 4.79325822e-03
1.24449787e-01 2.31344430e+01 3.74468738e+01 1.64262509e-03
1.44439395e-01 2.68503871e+01 2.92203874e+01 -4.56175265e-03
1.65933788e-01 3.08460614e+01 2.31478588e+01 -1.46971118e-02
1.89004103e-01 3.51346898e+01 1.86323494e+01 -2.37426828e-02
2.13717431e-01 3.97287441e+01 1.52446942e+01 -2.84995830e-02
2.40135301e-01 4.46396621e+01 1.26747596e+01 -3.16705101e-02
2.68312022e-01 4.98775396e+01 1.07011849e+01 -3.22849677e-02
2.98292904e-01 5.54507996e+01 9.16610343e+00 -2.82173771e-02
3.30112398e-01 6.13658461e+01 7.95521693e+00 -2.41916991e-02
3.63792187e-01 6.76267097e+01 6.98483847e+00 -2.21942536e-02
3.99339287e-01 7.42346950e+01 6.19317510e+00 -1.99245766e-02
4.36744233e-01 8.11880424e+01 5.53085937e+00 -1.55393779e-02
4.75979406e-01 8.84816176e+01 4.96218317e+00 -8.85822343e-03
5.16997593e-01 9.61066439e+01 4.46579103e+00 -1.82198826e-03
5.59730861e-01 1.04050493e+02 4.02091450e+00 8.71731569e-04
6.04089831e-01 1.12296550e+02 3.60456343e+00 1.68248623e-04
6.49963418e-01 1.20824166e+02 3.20903527e+00 6.77594859e-04
6.97219115e-01 1.29608706e+02 2.81981961e+00 2.60767975e-03
7.45703856e-01 1.38621719e+02 2.41338615e+00 2.83625045e-03
7.95245476e-01 1.47831198e+02 1.97997027e+00 3.45586930e-03
8.45654784e-01 1.57201976e+02 1.51728724e+00 5.79967959e-03
8.96728184e-01 1.66696204e+02 1.02434602e+00 8.17902140e-03
9.48250800e-01 1.76273939e+02 5.11897868e-01 8.05725316e-03
1.00000000e+00 1.85893794e+02 -6.15260390e-03 6.39138261e-03
1.05174920e+00 1.95513649e+02 -5.21049285e-01 6.11261287e-03
1.10327182e+00 2.05091383e+02 -1.02808068e+00 6.62944999e-03
1.15434522e+00 2.14585611e+02 -1.51762966e+00 6.94167217e-03
1.20475452e+00 2.23956389e+02 -1.97892491e+00 6.18547584e-03
1.25429614e+00 2.33165869e+02 -2.41295170e+00 3.31142152e-03
1.30278088e+00 2.42178881e+02 -2.82794626e+00 -8.10020551e-04
1.35003658e+00 2.50963422e+02 -3.22651639e+00 -4.61775039e-03
1.39591017e+00 2.59491037e+02 -3.62145983e+00 -7.33333593e-03
1.44026914e+00 2.67737094e+02 -4.03315311e+00 -8.58935591e-03
1.48300241e+00 2.75680944e+02 -4.47835322e+00 -7.10711904e-03
1.52402059e+00 2.83305970e+02 -4.97439414e+00 -2.31209599e-03
1.56325577e+00 2.90599545e+02 -5.53646605e+00 2.77676948e-03
1.60066071e+00 2.97552892e+02 -6.19461419e+00 5.10526075e-03
1.63620781e+00 3.04160878e+02 -6.98734771e+00 8.98796527e-03
1.66988760e+00 3.10421741e+02 -7.96495752e+00 1.65343752e-02
1.70170710e+00 3.16336788e+02 -9.19290922e+00 2.21493012e-02
1.73168798e+00 3.21910048e+02 -1.07488440e+01 2.35031748e-02
1.75986470e+00 3.27147925e+02 -1.27456468e+01 2.16960322e-02
1.78628257e+00 3.32058843e+02 -1.53433581e+01 1.58334448e-02
1.81099590e+00 3.36652898e+02 -1.87654062e+01 6.09982491e-03
1.83406621e+00 3.40941526e+02 -2.33205589e+01 -4.47016661e-03
1.85556060e+00 3.44937200e+02 -2.94476829e+01 -1.35109212e-02
1.87555021e+00 3.48653144e+02 -3.77425469e+01 -1.92562112e-02
1.89410886e+00 3.52103081e+02 -4.89912379e+01 -2.05866308e-02
1.91131184e+00 3.55301009e+02 -6.40998338e+01 -1.75445985e-02
1.92723491e+00 3.58261009e+02 -8.37292542e+01 -9.86300273e-03
1.94195338e+00 3.60997082e+02 -1.07456356e+02 1.52395364e-03
1.95554139e+00 3.63523007e+02 -1.32766983e+02 1.33689097e-02
1.96807128e+00 3.65852237e+02 -1.55091275e+02 2.26021758e-02
1.97961317e+00 3.67997802e+02 -1.70088651e+02 2.77961250e-02
1.99023454e+00 3.69972249e+02 -1.74533760e+02 2.95748031e-02
2.00000000e+00 3.71787587e+02 -1.79867751e+02 2.90670337e-02
