#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.86002108e+02 2.26449052e-02
9.76545766e-03 1.81639571e+00 1.77750230e+02 2.18780754e-02
2.03868308e-02 3.79199349e+00 1.70907160e+02 2.24048271e-02
3.19287199e-02 5.93880921e+00 1.56418499e+02 2.42130738e-02
4.44586130e-02 8.26939573e+00 1.34727188e+02 2.72808421e-02
5.80466159e-02 1.07967929e+01 1.09826047e+02 3.07205216e-02
7.27650869e-02 1.35344595e+01 8.61431532e+01 3.26932023e-02
8.86881595e-02 1.64961846e+01 6.62742983e+01 3.04170009e-02
1.05891143e-01 1.96959759e+01 5.08058228e+01 2.26194387e-02
1.24449787e-01 2.31479227e+01 3.91851842e+01 1.01771034e-02
1.44439395e-01 2.68660319e+01 3.05689339e+01 -6.27007720e-03
1.65933788e-01 3.08640344e+01 2.41859688e+01 -2.24197360e-02
1.89004103e-01 3.51551616e+01 1.94394609e+01 -3.21575081e-02
2.13717431e-01 3.97518927e+01 1.58843329e+01 -3.43888792e-02
2.40135301e-01 4.46656722e+01 1.31906692e+01 -3.01801602e-02
2.68312022e-01 4.99066016e+01 1.11227398e+01 -2.14467533e-02
2.98292904e-01 5.54831089e+01 9.51219323e+00 -1.23524209e-02
3.30112398e-01 6.14016019e+01 8.23774855e+00 -6.85746490e-03
3.63792187e-01 6.76661135e+01 7.20962917e+00 -5.87664380e-03
3.99339287e-01 7.42779491e+01 6.37256338e+00 -7.54496762e-03
4.36744233e-01 8.12353480e+01 5.68605566e+00 -1.08840630e-02
4.75979406e-01 8.85331729e+01 5.10700673e+00 -1.33199036e-02
5.16997593e-01 9.61626421e+01 4.61190046e+00 -1.24034871e-02
5.59730861e-01 1.04111120e+02 4.17878568e+00 -7.73582296e-03
6.04089831e-01 1.12361982e+02 3.79075235e+00 -2.13490437e-03
6.49963418e-01 1.20894566e+02 3.42037286e+00 4.56084290e-03
6.97219115e-01 1.29684225e+02 3.04228409e+00 9.36174664e-03
7.45703856e-01 1.38702489e+02 2.63880361e+00 9.25050308e-03
7.95245476e-01 1.47917335e+02 2.19337288e+00 5.91720065e-03
8.45654784e-01 1.57293572e+02 1.69130265e+00 4.73003323e-03
8.96728184e-01 1.66793332e+02 1.13390386e+00 7.29667598e-03
9.48250800e-01 1.76376648e+02 5.25114922e-01 8.87491253e-03
1.00000000e+00 1.86002108e+02 -1.11693127e-01 9.51097931e-03
1.05174920e+00 1.95627568e+02 -7.25282411e-01 9.47300707e-03
1.10327182e+00 2.05210883e+02 -1.29812923e+00 7.84986213e-03
1.15434522e+00 2.14710643e+02 -1.81672227e+00 6.80628497e-03
1.20475452e+00 2.24086881e+02 -2.27141393e+00 5.57151727e-03
1.25429614e+00 2.33301727e+02 -2.67821999e+00 5.10778017e-03
1.30278088e+00 2.42319991e+02 -3.03722856e+00 4.68474850e-03
1.35003658e+00 2.51109650e+02 -3.38780772e+00 3.63757424e-03
1.39591017e+00 2.59642234e+02 -3.75653626e+00 2.27041500e-03
1.44026914e+00 2.67893096e+02 -4.15585861e+00 2.58402212e-03
1.48300241e+00 2.75841574e+02 -4.59483104e+00 4.00208852e-03
1.52402059e+00 2.83471043e+02 -5.09501634e+00 4.23391785e-03
1.56325577e+00 2.90768868e+02 -5.67737837e+00 3.10320947e-04
1.60066071e+00 2.97726267e+02 -6.36347637e+00 -5.53347544e-03
1.63620781e+00 3.04338102e+02 -7.18735709e+00 -1.13640619e-02
1.66988760e+00 3.10602614e+02 -8.20233331e+00 -1.89651554e-02
1.70170710e+00 3.16521107e+02 -9.47346306e+00 -3.00087543e-02
1.73168798e+00 3.22097614e+02 -1.10879579e+01 -4.05349839e-02
1.75986470e+00 3.27338544e+02 -1.31724576e+01 -4.28307633e-02
1.78628257e+00 3.32252323e+02 -1.58955867e+01 -3.66477362e-02
1.81099590e+00 3.36849054e+02 -1.94911160e+01 -2.45141315e-02
1.83406621e+00 3.41140181e+02 -2.42831662e+01 -8.42370709e-03
1.85556060e+00 3.45138184e+02 -3.07237527e+01 7.96195348e-03
1.87555021e+00 3.48856293e+02 -3.94218184e+01 2.16381832e-02
1.89410886e+00 3.52308240e+02 -5.11492507e+01 3.06696252e-02
1.91131184e+00 3.55508031e+02 -6.67326767e+01 3.49497924e-02
1.92723491e+00 3.58469756e+02 -8.66753730e+01 3.51527771e-02
1.94195338e+00 3.61207423e+02 -1.10316982e+02 3.19209790e-02
1.95554139e+00 3.63734820e+02 -1.35005713e+02 2.75617675e-02
1.96807128e+00 3.66065407e+02 -1.56338333e+02 2.43586162e-02
1.97961317e+00 3.68212222e+02 -1.70449033e+02 2.29250389e-02
1.99023454e+00 3.70187820e+02 -1.74474541e+02 2.28151347e-02
2.00000000e+00 3.72004216e+02 -1.79767882e+02 2.20855230e-02
