#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.05993545e-01 1.28078362e-01 7.34268081e-05 2.60146046e-02 -9.25250297e-04 -5.87765689e-05 9.58254557e-08
1.50761442e-02 2.79738847e+00 1.08554323e+00 1.23235520e-03 1.45929663e-01 -1.55653416e-02 -3.71780942e-04 1.57300127e-06
2.61577753e-02 4.85359242e+00 2.93639761e+00 7.04725490e-03 2.97073041e-01 -7.31254355e-02 -7.95471254e-04 4.26063416e-06
3.81936665e-02 7.08685993e+00 5.10092691e+00 2.15476630e-02 4.40245262e-01 -1.79783276e-01 -1.12427875e-03 -3.76960084e-06
5.12526145e-02 9.50995632e+00 6.81919682e+00 4.73725346e-02 5.66529666e-01 -3.11437181e-01 -1.30855748e-03 -2.69357268e-05
6.54058514e-02 1.21360987e+01 7.72942310e+00 8.53473999e-02 6.77021262e-01 -4.37128854e-01 -1.50978178e-03 -5.51811541e-05
8.07266232e-02 1.49788780e+01 7.91642016e+00 1.34303521e-01 7.71521362e-01 -5.38198645e-01 -1.99929170e-03 -7.78823363e-05
9.72896514e-02 1.80521588e+01 7.63561949e+00 1.91786452e-01 8.48034359e-01 -6.11012947e-01 -2.71181887e-03 -7.68208192e-05
1.15170465e-01 2.13699556e+01 7.11172285e+00 2.54598220e-01 9.05434421e-01 -6.59507043e-01 -3.25909635e-03 -4.42717887e-05
1.34444591e-01 2.49462823e+01 6.48994781e+00 3.19208428e-01 9.44755659e-01 -6.89196907e-01 -3.62410469e-03 -9.96218198e-07
1.55186592e-01 2.87949741e+01 5.85248497e+00 3.82092352e-01 9.68653220e-01 -7.04812307e-01 -4.25136864e-03 4.94735972e-05
1.77468946e-01 3.29294796e+01 5.24194893e+00 4.40004575e-01 9.80279608e-01 -7.09751220e-01 -4.91257800e-03 1.07582003e-04
2.01360767e-01 3.73626228e+01 4.67858609e+00 4.90241086e-01 9.82245346e-01 -7.06421053e-01 -4.70787870e-03 1.13164044e-04
2.26926366e-01 4.21063365e+01 4.17173387e+00 5.30838696e-01 9.76184306e-01 -6.96554233e-01 -3.58613646e-03 6.01322613e-05
2.54223661e-01 4.71713676e+01 3.72306622e+00 5.60629860e-01 9.62619712e-01 -6.81429182e-01 -2.22878698e-03 8.41661300e-06
2.83302463e-01 5.25669583e+01 3.32920134e+00 5.79266613e-01 9.41348162e-01 -6.61935845e-01 -1.00828933e-03 -3.49607759e-05
3.14202651e-01 5.83005086e+01 2.98315787e+00 5.87304665e-01 9.12204144e-01 -6.38565036e-01 4.93547264e-05 -4.79682001e-05
3.46952292e-01 6.43772261e+01 2.67819829e+00 5.85753972e-01 8.75677089e-01 -6.11889773e-01 9.53085958e-04 -3.07405521e-05
3.81565737e-01 7.07997734e+01 2.40836709e+00 5.75798731e-01 8.32659074e-01 -5.82222986e-01 1.22637701e-03 1.81438855e-05
4.18041760e-01 7.75679235e+01 2.16731942e+00 5.58902030e-01 7.84104939e-01 -5.49767334e-01 8.08237255e-04 6.57476967e-05
4.56361820e-01 8.46782358e+01 1.95023622e+00 5.36597086e-01 7.31012285e-01 -5.14801720e-01 6.18767662e-04 6.09647050e-05
4.96488500e-01 9.21237676e+01 1.75301758e+00 5.10195405e-01 6.74741175e-01 -4.77614129e-01 8.28687842e-04 3.55716429e-05
