#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.85550658e+02 9.10712391e-03
9.76545766e-03 1.81198709e+00 1.77233371e+02 1.00417843e-02
2.03868308e-02 3.78278986e+00 1.69290476e+02 1.03803242e-02
3.19287199e-02 5.92439498e+00 1.52496027e+02 9.96077566e-03
4.44586130e-02 8.24932488e+00 1.28301402e+02 6.99982189e-03
5.80466159e-02 1.07705878e+01 1.01941201e+02 1.81768167e-03
7.27650869e-02 1.35016097e+01 7.82328318e+01 -3.41234867e-03
8.86881595e-02 1.64561463e+01 5.93097986e+01 -5.79409930e-03
1.05891143e-01 1.96481713e+01 4.51129507e+01 -3.20719027e-03
1.24449787e-01 2.30917398e+01 3.47085687e+01 3.39293330e-03
1.44439395e-01 2.68008247e+01 2.70986517e+01 1.20707821e-02
1.65933788e-01 3.07891235e+01 2.14974550e+01 2.17510689e-02
1.89004103e-01 3.50698357e+01 1.73433895e+01 2.63255619e-02
2.13717431e-01 3.96554099e+01 1.42308932e+01 2.10191413e-02
2.40135301e-01 4.45572631e+01 1.18683979e+01 1.22052306e-02
2.68312022e-01 4.97854721e+01 1.00439901e+01 4.40263388e-03
2.98292904e-01 5.53484445e+01 8.61557208e+00 -8.89735513e-04
3.30112398e-01 6.12525726e+01 7.48469084e+00 -4.36201290e-04
3.63792187e-01 6.75018795e+01 6.57198434e+00 5.64514814e-03
3.99339287e-01 7.40976673e+01 5.82996886e+00 1.48309919e-02
4.36744233e-01 8.10381797e+01 5.21795082e+00 1.88506499e-02
4.75979406e-01 8.83182919e+01 4.69134823e+00 1.48585019e-02
5.16997593e-01 9.59292434e+01 4.22563066e+00 4.79585259e-03
5.59730861e-01 1.03858429e+02 3.80483400e+00 -8.30078550e-03
6.04089831e-01 1.12089265e+02 3.41342371e+00 -1.36850354e-02
6.49963418e-01 1.20601140e+02 3.03473469e+00 -7.83312520e-03
6.97219115e-01 1.29369465e+02 2.64999855e+00 -1.41742919e-03
7.45703856e-01 1.38365841e+02 2.25391641e+00 -6.90531406e-04
7.95245476e-01 1.47558321e+02 1.84654695e+00 1.54007124e-04
8.45654784e-01 1.56911801e+02 1.41596500e+00 4.35163495e-03
8.96728184e-01 1.66388504e+02 9.55304287e-01 7.88758532e-03
9.48250800e-01 1.75948560e+02 4.79392042e-01 1.28836093e-02
1.00000000e+00 1.85550658e+02 -3.90283675e-03 1.70311456e-02
1.05174920e+00 1.95152756e+02 -4.88470867e-01 1.49690146e-02
1.10327182e+00 2.04712811e+02 -9.63851022e-01 7.67323055e-03
1.15434522e+00 2.14189514e+02 -1.42014075e+00 -1.80910178e-04
1.20475452e+00 2.23542994e+02 -1.84996819e+00 -5.45662950e-03
1.25429614e+00 2.32735475e+02 -2.25725696e+00 -9.73398214e-03
1.30278088e+00 2.41731850e+02 -2.64557271e+00 -1.23341778e-02
1.35003658e+00 2.50500176e+02 -3.02345601e+00 -1.31690570e-02
1.39591017e+00 2.59012050e+02 -3.40272914e+00 -1.79809449e-02
1.44026914e+00 2.67242886e+02 -3.79581384e+00 -2.69396832e-02
1.48300241e+00 2.75172072e+02 -4.22188563e+00 -3.34437974e-02
1.52402059e+00 2.82783023e+02 -4.69834746e+00 -3.30757554e-02
1.56325577e+00 2.90063136e+02 -5.24238734e+00 -2.28536771e-02
1.60066071e+00 2.97003648e+02 -5.86895732e+00 -2.95179321e-03
1.63620781e+00 3.03599436e+02 -6.60437422e+00 1.60052778e-02
1.66988760e+00 3.09848743e+02 -7.49873519e+00 2.57865707e-02
1.70170710e+00 3.15752871e+02 -8.62327302e+00 2.36936148e-02
1.73168798e+00 3.21315843e+02 -1.00501904e+01 1.28316270e-02
1.75986470e+00 3.26544052e+02 -1.18766173e+01 1.20073935e-03
1.78628257e+00 3.31445905e+02 -1.42549201e+01 -9.91880427e-03
1.81099590e+00 3.36031480e+02 -1.73932647e+01 -2.40685149e-02
1.83406621e+00 3.40312192e+02 -2.15702284e+01 -3.45189495e-02
1.85556060e+00 3.44300491e+02 -2.71918615e+01 -3.41015253e-02
1.87555021e+00 3.48009576e+02 -3.48371460e+01 -2.52028436e-02
1.89410886e+00 3.51453144e+02 -4.53058275e+01 -1.43118513e-02
1.91131184e+00 3.54645169e+02 -5.95956784e+01 -3.50246377e-03
1.92723491e+00 3.57599706e+02 -7.86323249e+01 8.60582441e-03
1.94195338e+00 3.60330728e+02 -1.02449610e+02 1.86030376e-02
1.95554139e+00 3.62851990e+02 -1.28862772e+02 2.18990046e-02
1.96807128e+00 3.65176920e+02 -1.52996634e+02 2.01995287e-02
1.97961317e+00 3.67318525e+02 -1.69616374e+02 1.81505680e-02
1.99023454e+00 3.69289328e+02 -1.74805274e+02 1.74117650e-02
2.00000000e+00 3.71101315e+02 -1.80163146e+02 1.78774537e-02
