#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
1.12880852e+00 2.09284405e+02 1.09650113e+00 1.06957817e+00 1.25924164e+00 9.55046345e-02 4.40043297e-03 3.48524798e-04
1.17954987e+00 2.18692001e+02 1.11826457e+00 1.02051770e+00 1.21029186e+00 1.35953440e-01 4.52657680e-03 2.84435539e-04
1.22952533e+00 2.27957598e+02 1.14925290e+00 9.59919789e-01 1.15505892e+00 1.79677410e-01 5.15129833e-03 4.41913179e-04
1.27853851e+00 2.37044785e+02 1.19018914e+00 8.97974809e-01 1.10185770e+00 2.19246644e-01 3.57885794e-03 7.99185588e-04
1.32640873e+00 2.45920064e+02 1.24817276e+00 8.40128339e-01 1.05893933e+00 2.62295535e-01 2.88491818e-03 1.21317358e-03
1.37297338e+00 2.54553285e+02 1.32289659e+00 7.89525198e-01 1.02466506e+00 3.02085884e-01 1.70512318e-03 9.19146476e-04
1.41808965e+00 2.62917975e+02 1.41415744e+00 7.47585273e-01 1.00074819e+00 3.41053171e-01 -2.78280524e-03 5.23245287e-04
1.46163577e+00 2.70991553e+02 1.52636489e+00 7.13934022e-01 9.86832124e-01 3.79265758e-01 -4.61511847e-03 2.94515203e-05
1.50351150e+00 2.78755436e+02 1.66556491e+00 6.87556439e-01 9.77188452e-01 4.15092828e-01 -3.66188487e-03 1.15913076e-04
1.54363818e+00 2.86195040e+02 1.82888984e+00 6.66688571e-01 9.72239086e-01 4.49521568e-01 -6.12349768e-04 2.20324241e-04
1.58195824e+00 2.93299691e+02 2.01874355e+00 6.50640625e-01 9.74016154e-01 4.82833308e-01 6.33624754e-03 5.15615126e-04
1.61843426e+00 3.00062452e+02 2.23230364e+00 6.37316091e-01 9.83842021e-01 5.13516890e-01 9.88117484e-03 8.16398692e-04
1.65304771e+00 3.06479886e+02 2.48614551e+00 6.24508817e-01 9.95629546e-01 5.42607587e-01 7.97416062e-03 9.86534906e-04
1.68579735e+00 3.12551766e+02 2.78408630e+00 6.09981313e-01 1.00557936e+00 5.69781438e-01 3.72217342e-03 3.38481200e-04
1.71669754e+00 3.18280751e+02 3.12742399e+00 5.91086199e-01 1.01412308e+00 5.94506136e-01 -2.06026633e-03 -6.61714036e-04
1.74577634e+00 3.23672046e+02 3.52036106e+00 5.65972647e-01 1.01996617e+00 6.16149295e-01 -5.56112146e-03 -1.61875553e-03
1.77307363e+00 3.28733045e+02 3.96344790e+00 5.33354377e-01 1.02304117e+00 6.34430558e-01 -6.68875906e-03 -2.53254910e-03
1.79863923e+00 3.33472982e+02 4.45362054e+00 4.92597899e-01 1.02197232e+00 6.47956429e-01 -4.56830356e-03 -2.96826743e-03
1.82253105e+00 3.37902595e+02 4.98783656e+00 4.43871936e-01 1.01345171e+00 6.55395705e-01 -1.83736717e-03 -2.73652206e-03
1.84481341e+00 3.42033809e+02 5.56549078e+00 3.87704825e-01 9.94851896e-01 6.55150861e-01 8.72629875e-04 -1.93628438e-03
1.86555541e+00 3.45879437e+02 6.16955661e+00 3.26139787e-01 9.62876466e-01 6.45365621e-01 6.04043328e-03 -1.13331991e-03
1.88482953e+00 3.49452916e+02 6.75271439e+00 2.62193073e-01 9.13838749e-01 6.22731589e-01 1.25656171e-02 -3.59206552e-04
1.90271035e+00 3.52768071e+02 7.24118158e+00 1.99272515e-01 8.45948875e-01 5.82340274e-01 1.75326627e-02 3.56452960e-04
1.91927338e+00 3.55838905e+02 7.51598480e+00 1.40941434e-01 7.60640359e-01 5.18678264e-01 1.92491836e-02 7.49819577e-04
1.93459415e+00 3.58679421e+02 7.38262865e+00 9.05349721e-02 6.61935105e-01 4.27485133e-01 1.79054014e-02 7.51655121e-04
1.94874739e+00 3.61303473e+02 6.59991227e+00 5.08438441e-02 5.52294626e-01 3.10877802e-01 1.52318616e-02 5.31010959e-04
1.96180633e+00 3.63724640e+02 5.04092441e+00 2.33802284e-02 4.29896459e-01 1.84404485e-01 1.18657233e-02 2.63730554e-04
1.97384222e+00 3.65956129e+02 2.97059516e+00 7.74383262e-03 2.91009908e-01 7.72997891e-02 7.62335465e-03 8.22903472e-05
1.98492386e+00 3.68010696e+02 1.11090507e+00 1.46466021e-03 1.42979118e-01 1.73302475e-02 3.18084330e-03 1.15283022e-05
1.99511727e+00 3.69900585e+02 1.21935253e-01 9.35520849e-05 2.48410582e-02 9.87831341e-04 3.89118352e-04 5.82885457e-07
