#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.05272225e-01 1.35431699e-01 1.11232344e-04 2.62555338e-02 -1.25625705e-03 4.53115599e-04 -6.78277730e-06
1.50761442e-02 2.79516129e+00 1.13907791e+00 1.53432916e-03 1.45427914e-01 -1.82370006e-02 3.22182036e-03 -6.37321398e-05
2.61577753e-02 4.84972816e+00 3.00166962e+00 7.83959233e-03 2.93577023e-01 -7.89202823e-02 7.47136055e-03 -1.69816166e-04
3.81936665e-02 7.08121763e+00 5.07023397e+00 2.34043692e-02 4.33593425e-01 -1.86395297e-01 1.01791878e-02 -2.75317914e-04
5.12526145e-02 9.50238483e+00 6.62700627e+00 5.07345551e-02 5.57110044e-01 -3.12709708e-01 9.39670345e-03 -3.17037922e-04
6.54058514e-02 1.21264364e+01 7.40860370e+00 9.02095732e-02 6.64400084e-01 -4.29336426e-01 6.07715195e-03 -2.71337704e-04
8.07266232e-02 1.49669524e+01 7.53673948e+00 1.40284389e-01 7.54986494e-01 -5.21049156e-01 2.00611023e-03 -1.21195284e-04
9.72896514e-02 1.80377863e+01 7.25125623e+00 1.98169343e-01 8.28530689e-01 -5.85092868e-01 1.64157888e-04 1.65836399e-04
1.15170465e-01 2.13529416e+01 6.75291821e+00 2.60535284e-01 8.86345813e-01 -6.25416308e-01 2.23070630e-03 5.08635872e-04
1.34444591e-01 2.49264209e+01 6.16657438e+00 3.24224696e-01 9.31004819e-01 -6.47337021e-01 6.91778141e-03 6.48015288e-04
1.55186592e-01 2.87720486e+01 5.55977162e+00 3.86111511e-01 9.66677626e-01 -6.55212403e-01 1.18745900e-02 5.82464710e-04
1.77468946e-01 3.29032623e+01 4.97210620e+00 4.43430518e-01 9.96086425e-01 -6.52538165e-01 1.56853643e-02 5.85337047e-04
2.01360767e-01 3.73328760e+01 4.42601524e+00 4.94135804e-01 1.01735772e+00 -6.42864999e-01 1.74309059e-02 7.96911570e-04
2.26926366e-01 4.20728129e+01 3.93079984e+00 5.36954235e-01 1.02774066e+00 -6.27898647e-01 1.59305601e-02 9.34130255e-04
2.54223661e-01 4.71338114e+01 3.49232966e+00 5.71860726e-01 1.02530466e+00 -6.08510977e-01 1.34600178e-02 1.13449203e-03
2.83302463e-01 5.25251064e+01 3.11156244e+00 5.99257824e-01 1.01162024e+00 -5.86588723e-01 1.25107987e-02 1.21699944e-03
3.14202651e-01 5.82540918e+01 2.78070218e+00 6.20232432e-01 9.93458101e-01 -5.62294871e-01 1.38292280e-02 9.21503727e-04
3.46952292e-01 6.43259712e+01 2.48571945e+00 6.36409651e-01 9.77864630e-01 -5.34140694e-01 1.49452374e-02 5.95128585e-04
3.81565737e-01 7.07434051e+01 2.22809864e+00 6.49863671e-01 9.67207948e-01 -5.04992142e-01 1.45168846e-02 2.48006100e-04
4.18041760e-01 7.75061666e+01 2.00981015e+00 6.64254165e-01 9.60179197e-01 -4.73924242e-01 1.50543166e-02 2.44534188e-04
4.56361820e-01 8.46108180e+01 1.81582760e+00 6.83234319e-01 9.56416240e-01 -4.40690327e-01 1.79966795e-02 6.43196691e-04
4.96488500e-01 9.20504220e+01 1.64632084e+00 7.08891437e-01 9.61447418e-01 -4.07462875e-01 1.90705866e-02 1.00584282e-03
5.38364227e-01 9.98143045e+01 1.50616984e+00 7.41672752e-01 9.77223068e-01 -3.73212590e-01 1.86129634e-02 8.66229935e-04
5.81910346e-01 1.07887882e+02 1.39410837e+00 7.80840106e-01 9.99961622e-01 -3.38277030e-01 2.10410561e-02 9.77318881e-04
6.27026624e-01 1.16252573e+02 1.30268924e+00 8.26215372e-01 1.02811567e+00 -3.02412004e-01 2.44897958e-02 9.13806535e-04
6.73591267e-01 1.24885794e+02 1.23400707e+00 8.76572040e-01 1.06153718e+00 -2.64909257e-01 3.04498449e-02 8.57787572e-04
7.21461485e-01 1.33761072e+02 1.18175082e+00 9.28457574e-01 1.10177320e+00 -2.28038205e-01 3.36742820e-02 4.55741101e-04
7.70474666e-01 1.42848260e+02 1.14788241e+00 9.79996280e-01 1.14711760e+00 -1.89275089e-01 2.94855358e-02 4.49175566e-04
8.20450130e-01 1.52113857e+02 1.12579052e+00 1.02789107e+00 1.19433250e+00 -1.48565051e-01 2.05080171e-02 1.58494058e-04
8.71191484e-01 1.61521453e+02 1.10879306e+00 1.06894596e+00 1.24461397e+00 -1.09372173e-01 6.87933083e-03 -4.24139078e-05
9.22489492e-01 1.71032254e+02 1.09795699e+00 1.10146589e+00 1.28636041e+00 -6.71262795e-02 -3.16841584e-03 1.36009405e-05
9.74125400e-01 1.80605702e+02 1.09102473e+00 1.11984632e+00 1.30624635e+00 -2.60852688e-02 -7.63901197e-03 -1.45557691e-04
1.02587460e+00 1.90200155e+02 1.08742539e+00 1.12132194e+00 1.31224581e+00 1.09270397e-02 -8.76696775e-03 -1.72667327e-04
1.07751051e+00 1.99773604e+02 1.08493445e+00 1.10440035e+00 1.29772844e+00 5.57864782e-02 -1.25685219e-03 -1.56744299e-05
