#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
4.88272883e-03 9.08197854e-01 1.27684348e-01 1.05825248e-04 2.03512578e-02 -9.77728092e-04 -7.41937217e-05 1.28715928e-07
1.50761442e-02 2.80419460e+00 1.07544012e+00 1.24776455e-03 1.12618332e-01 -1.35457489e-02 -5.19440591e-04 1.31810671e-06
2.61577753e-02 4.86540135e+00 2.94291680e+00 5.67013613e-03 2.36107254e-01 -6.03996226e-02 -1.18159913e-03 9.25818030e-06
3.81936665e-02 7.10410247e+00 5.24890028e+00 1.64697014e-02 3.59624433e-01 -1.52391462e-01 -1.72252161e-03 2.50477232e-05
5.12526145e-02 9.53309433e+00 7.24732546e+00 3.57567242e-02 4.74712815e-01 -2.72965411e-01 -1.95390282e-03 4.41200436e-05
6.54058514e-02 1.21656262e+01 8.47987942e+00 6.44353033e-02 5.80747888e-01 -3.95197644e-01 -1.92912317e-03 6.19319813e-05
8.07266232e-02 1.50153221e+01 8.92676105e+00 1.02270806e-01 6.76434134e-01 -4.99613475e-01 -1.84284940e-03 6.72364388e-05
9.72896514e-02 1.80960802e+01 8.80130204e+00 1.47887961e-01 7.58727569e-01 -5.78785232e-01 -1.81313703e-03 4.29026673e-05
1.15170465e-01 2.14219493e+01 8.33950004e+00 1.99152085e-01 8.24849287e-01 -6.33914195e-01 -1.71551321e-03 -1.53551370e-05
1.34444591e-01 2.50069773e+01 7.71393394e+00 2.53476604e-01 8.73754439e-01 -6.69331774e-01 -1.55044351e-03 -1.02879244e-04
1.55186592e-01 2.88650332e+01 7.03159514e+00 3.08082122e-01 9.06377097e-01 -6.89452037e-01 -1.42469152e-03 -1.97003169e-04
1.77468946e-01 3.30095980e+01 6.35405979e+00 3.60207591e-01 9.24899948e-01 -6.97871116e-01 -1.36328400e-03 -2.63277183e-04
2.01360767e-01 3.74535272e+01 5.71531409e+00 4.07315926e-01 9.31892748e-01 -6.97278228e-01 -1.33379038e-03 -3.09815421e-04
2.26926366e-01 4.22087825e+01 5.13289806e+00 4.47340404e-01 9.29321398e-01 -6.89529685e-01 -1.13591453e-03 -3.16971187e-04
2.54223661e-01 4.72861369e+01 4.61565798e+00 4.78885461e-01 9.18108771e-01 -6.76103851e-01 -7.22667985e-04 -2.84716777e-04
2.83302463e-01 5.26948553e+01 4.16714547e+00 5.01279778e-01 8.98655135e-01 -6.58062631e-01 -3.06986311e-04 -2.30341828e-04
3.14202651e-01 5.84423554e+01 3.78715751e+00 5.14593913e-01 8.71142099e-01 -6.36042293e-01 -7.17013582e-05 -1.85479375e-04
3.46952292e-01 6.45338577e+01 3.47434688e+00 5.19593246e-01 8.36086606e-01 -6.10592878e-01 -2.52304081e-05 -1.80183567e-04
3.81565737e-01 7.09720313e+01 3.22896937e+00 5.17535287e-01 7.94790274e-01 -5.82103268e-01 -1.09502818e-05 -1.90813531e-04
