#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.80077162e+02 2.01419040e-02
4.44586130e-02 8.00598087e+00 1.64921355e+02 2.17379699e-02
1.05891143e-01 1.90685766e+01 1.07183454e+02 2.03307210e-02
1.89004103e-01 3.40353226e+01 4.16992416e+01 7.31104393e-03
2.98292904e-01 5.37157397e+01 1.96133912e+01 -1.53718117e-02
4.36744233e-01 7.86476621e+01 1.15317272e+01 -8.10690363e-03
6.04089831e-01 1.08782782e+02 6.37881365e+00 -9.56694366e-03
7.95245476e-01 1.43205549e+02 3.44797133e+00 -1.32283652e-02
1.00000000e+00 1.80077162e+02 1.52307902e-02 -3.87225946e-03
1.20475452e+00 2.16948776e+02 -3.46499644e+00 -5.56590136e-03
1.39591017e+00 2.51371542e+02 -6.38059630e+00 -1.86263010e-03
1.56325577e+00 2.81506662e+02 -1.14183355e+01 7.46063129e-03
1.70170710e+00 3.06438585e+02 -1.96206721e+01 -9.91769676e-03
1.81099590e+00 3.26119002e+02 -4.18048963e+01 2.25791499e-02
1.89410886e+00 3.41085748e+02 -1.07337972e+02 3.19118084e-02
1.95554139e+00 3.52148344e+02 -1.64862673e+02 2.08475680e-02
2.00000000e+00 3.60154325e+02 -1.79970990e+02 1.97864203e-02
