#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
2.22293065e-02 3.99782131e+00 1.57332544e+00 7.00808523e-04 7.92950011e-02 -3.20874536e-03 2.90311336e-04 -1.13348451e-06
7.51748782e-02 1.35197978e+01 1.53524396e+01 1.31117398e-02 4.31041678e-01 -1.49487287e-01 3.23605097e-03 -1.39130134e-05
1.47447623e-01 2.65176626e+01 2.64216460e+01 5.56401085e-02 7.41780076e-01 -4.37168275e-01 1.92789371e-03 -1.01828570e-04
2.43648504e-01 4.38188740e+01 2.01806589e+01 1.62687636e-01 7.83792321e-01 -6.08226058e-01 -5.81124335e-03 -1.32409749e-04
3.67518569e-01 6.60962395e+01 1.33610419e+01 2.33905622e-01 6.39691031e-01 -6.14320725e-01 -4.73040968e-03 -1.05990766e-04
5.20417032e-01 9.35942064e+01 8.42213236e+00 2.37140949e-01 4.43161495e-01 -5.08444259e-01 -3.76144950e-03 -9.74127850e-05
6.99667653e-01 1.25831467e+02 5.01013188e+00 2.04233727e-01 2.80680983e-01 -3.20200239e-01 2.78405091e-04 -5.04948000e-05
8.97622738e-01 1.61432625e+02 3.15950958e+00 1.73070910e-01 1.88895120e-01 -1.05841945e-01 7.31915469e-04 -1.99911995e-05
1.10237726e+00 1.98256626e+02 3.16563225e+00 1.72982798e-01 1.89789951e-01 1.07714303e-01 9.31352815e-04 4.91196296e-05
1.30033235e+00 2.33857784e+02 5.02266463e+00 2.04610636e-01 2.81341129e-01 3.23183250e-01 -7.04926058e-04 -1.93821231e-04
1.47958297e+00 2.66095045e+02 8.41142349e+00 2.38018830e-01 4.43190555e-01 5.10948483e-01 -6.07643584e-04 1.34260488e-04
1.63248143e+00 2.93593012e+02 1.34004907e+01 2.34711924e-01 6.41266012e-01 6.16370070e-01 -2.36692464e-04 2.03620747e-04
1.75635150e+00 3.15870378e+02 2.02178624e+01 1.63708982e-01 7.85557167e-01 6.12283622e-01 -1.99415093e-03 -3.22000456e-05
1.85255238e+00 3.33171589e+02 2.65340991e+01 5.61023200e-02 7.42682764e-01 4.40612134e-01 9.71573417e-05 -4.59932805e-05
1.92482512e+00 3.46169454e+02 1.55268948e+01 1.31761173e-02 4.31902523e-01 1.51101678e-01 5.63095352e-04 -2.20343502e-05
1.97777069e+00 3.55691430e+02 1.59457787e+00 7.08483892e-04 7.96318559e-02 3.25920838e-03 2.67003832e-04 -1.90237727e-06
