#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
2.22293065e-02 4.00299043e+00 1.62264564e+00 6.71610590e-04 7.53709649e-02 -3.36688483e-03 -2.78052579e-04 -5.45866495e-06
7.51748782e-02 1.35372787e+01 1.57327485e+01 1.25409927e-02 4.10439546e-01 -1.46816340e-01 -1.09484935e-03 6.14476817e-05
1.47447623e-01 2.65519496e+01 2.71344542e+01 5.25654739e-02 7.06714184e-01 -4.34056705e-01 2.45669820e-03 -1.06075032e-04
2.43648504e-01 4.38755311e+01 2.08663006e+01 1.52606777e-01 7.45085639e-01 -6.02640997e-01 1.61042418e-03 -1.23750657e-04
3.67518569e-01 6.61817009e+01 1.38401646e+01 2.20811529e-01 6.10043055e-01 -6.07493153e-01 -4.43852632e-05 -5.37821131e-04
5.20417032e-01 9.37152223e+01 8.82146614e+00 2.24097745e-01 4.24341639e-01 -5.04771030e-01 3.06344665e-03 -2.48903039e-04
6.99667653e-01 1.25994166e+02 5.32436860e+00 1.93847585e-01 2.69931639e-01 -3.18926503e-01 7.10115616e-04 -3.24062392e-04
8.97622738e-01 1.61641355e+02 3.43152235e+00 1.64722981e-01 1.82754895e-01 -1.05836449e-01 8.27185703e-04 -2.75291891e-04
1.10237726e+00 1.98512969e+02 3.42896716e+00 1.64818476e-01 1.82558205e-01 1.05603984e-01 -7.31120564e-04 -1.82153248e-04
1.30033235e+00 2.34160159e+02 5.31773491e+00 1.94188920e-01 2.70287255e-01 3.17267657e-01 7.51625049e-04 -1.55086542e-04
1.47958297e+00 2.66439102e+02 8.82236641e+00 2.24145404e-01 4.23830094e-01 5.04689466e-01 7.66930362e-05 -2.56048405e-04
1.63248143e+00 2.93972624e+02 1.38599856e+01 2.20032918e-01 6.07864351e-01 6.09175732e-01 -4.03115687e-03 -5.06990106e-05
1.75635150e+00 3.16278793e+02 2.08194238e+01 1.51940984e-01 7.44844167e-01 6.01142113e-01 -3.94252928e-03 -1.41329806e-04
1.85255238e+00 3.33602375e+02 2.70563511e+01 5.23941717e-02 7.04904384e-01 4.33484690e-01 -6.32696348e-04 7.89245962e-05
1.92482512e+00 3.46617046e+02 1.56347112e+01 1.25094692e-02 4.09708420e-01 1.45810708e-01 3.06927933e-03 5.12272198e-05
1.97777069e+00 3.56151334e+02 1.61016433e+00 6.70595171e-04 7.52080573e-02 3.35585735e-03 5.23089070e-04 -2.21231136e-06
