#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.79844626e+02 4.67566351e-04
4.44586130e-02 7.99564262e+00 1.64567508e+02 1.86989501e-03
1.05891143e-01 1.90439530e+01 1.06063762e+02 -1.18040231e-03
1.89004103e-01 3.39913722e+01 4.04988194e+01 -4.42884001e-03
2.98292904e-01 5.36463757e+01 1.89387720e+01 -8.27645385e-03
4.36744233e-01 7.85461032e+01 1.10366036e+01 -3.42072644e-03
6.04089831e-01 1.08642310e+02 6.18117391e+00 3.41392036e-03
7.95245476e-01 1.43020625e+02 3.36060963e+00 3.80381273e-03
1.00000000e+00 1.79844626e+02 5.21028140e-03 3.00216440e-03
1.20475452e+00 2.16668627e+02 -3.38068009e+00 -3.93813213e-04
1.39591017e+00 2.51046942e+02 -6.10256532e+00 -2.43359822e-03
1.56325577e+00 2.81143148e+02 -1.11462122e+01 4.25918225e-03
1.70170710e+00 3.06042876e+02 -1.89536715e+01 3.05908863e-03
1.81099590e+00 3.25697879e+02 -4.02728819e+01 -7.08111859e-03
1.89410886e+00 3.40645299e+02 -1.05985291e+02 1.29437273e-03
1.95554139e+00 3.51693609e+02 -1.64807157e+02 4.69641088e-04
2.00000000e+00 3.59689252e+02 -1.80172940e+02 7.82272300e-04
