#y y+ R_uu R_vv R_ww R_uv R_uw R_vw
2.22293065e-02 4.00278598e+00 1.55427633e+00 7.84660073e-04 8.81361519e-02 -2.84746578e-03 1.06800430e-04 -3.63088304e-06
7.51748782e-02 1.35365873e+01 1.52429820e+01 1.44548638e-02 4.76851037e-01 -1.57093911e-01 7.56199036e-04 1.29192146e-05
1.47447623e-01 2.65505934e+01 2.55368251e+01 6.34879961e-02 8.16261083e-01 -4.46536273e-01 3.97226862e-03 1.01651849e-05
2.43648504e-01 4.38732901e+01 1.93187781e+01 1.84605687e-01 8.62758594e-01 -6.21064230e-01 -2.24737329e-03 8.45674700e-05
3.67518569e-01 6.61783206e+01 1.26127609e+01 2.64384766e-01 7.03234955e-01 -6.29116155e-01 3.29657785e-03 6.41901757e-05
5.20417032e-01 9.37104357e+01 7.84816264e+00 2.65712591e-01 4.85187870e-01 -5.21771617e-01 -1.87121856e-04 2.20281224e-04
6.99667653e-01 1.25987730e+02 4.60044293e+00 2.26334238e-01 3.04598412e-01 -3.28576266e-01 -5.94046305e-04 4.56166782e-05
8.97622738e-01 1.61633099e+02 2.80974784e+00 1.90143997e-01 2.01689518e-01 -1.08991640e-01 -2.37186414e-04 -9.72836207e-05
1.10237726e+00 1.98502830e+02 2.80117746e+00 1.89923731e-01 2.00748634e-01 1.07895236e-01 1.16165067e-04 -1.07790681e-04
1.30033235e+00 2.34148199e+02 4.56487663e+00 2.26203986e-01 3.03651057e-01 3.29098804e-01 -8.52699839e-04 2.20286099e-05
1.47958297e+00 2.66425493e+02 7.81008939e+00 2.65382427e-01 4.86502000e-01 5.20840871e-01 2.91057328e-04 -1.27930353e-04
1.63248143e+00 2.93957609e+02 1.25879148e+01 2.64684668e-01 7.05908453e-01 6.31069731e-01 3.01891104e-03 3.94772467e-04
1.75635150e+00 3.16262639e+02 1.92797633e+01 1.84346958e-01 8.63542933e-01 6.20602866e-01 2.25781507e-03 3.31479518e-04
1.85255238e+00 3.33585336e+02 2.55096822e+01 6.34215856e-02 8.15716401e-01 4.45452914e-01 5.28681396e-03 -3.87854473e-05
1.92482512e+00 3.46599342e+02 1.52329623e+01 1.44732498e-02 4.75212299e-01 1.56806821e-01 5.22902966e-04 -1.00459517e-04
1.97777069e+00 3.56133143e+02 1.55167824e+00 7.84299978e-04 8.79378106e-02 2.77731527e-03 1.35146103e-04 -5.79423354e-06
