#y y+ uavg wavg pavg
2.22293065e-02 4.00278598e+00 4.00278598e+00 -1.51072958e-04
7.51748782e-02 1.35365873e+01 1.27044381e+01 -5.21742776e-04
1.47447623e-01 2.65505934e+01 2.02053569e+01 -7.77991101e-04
2.43648504e-01 4.38732901e+01 2.39065145e+01 -5.98667433e-04
3.67518569e-01 6.61783206e+01 2.61132754e+01 -7.75129662e-04
5.20417032e-01 9.37104357e+01 2.76881093e+01 1.52779708e-03
6.99667653e-01 1.25987730e+02 2.87200873e+01 2.54551371e-03
8.97622738e-01 1.61633099e+02 2.93590959e+01 3.14430612e-04
1.10237726e+00 1.98502830e+02 2.93569021e+01 -3.59916292e-03
1.30033235e+00 2.34148199e+02 2.87168679e+01 -3.83864135e-03
1.47958297e+00 2.66425493e+02 2.76818783e+01 -4.62006774e-03
1.63248143e+00 2.93957609e+02 2.60968900e+01 -3.16473533e-04
1.75635150e+00 3.16262639e+02 2.39048684e+01 3.39220526e-03
1.85255238e+00 3.33585336e+02 2.01954730e+01 2.48731110e-03
1.92482512e+00 3.46599342e+02 1.26954254e+01 6.25175395e-04
1.97777069e+00 3.56133143e+02 3.99993211e+00 1.16987838e-04
