#y y+ duavg/dy dwavg/dy
0.00000000e+00 0.00000000e+00 1.79895815e+02 9.58384621e-03
4.44586130e-02 7.99791843e+00 1.64392344e+02 7.38029247e-03
1.05891143e-01 1.90493736e+01 1.04896950e+02 -7.31197914e-04
1.89004103e-01 3.40010473e+01 3.94309272e+01 1.16067554e-02
2.98292904e-01 5.36616452e+01 1.83458427e+01 -1.52406372e-03
4.36744233e-01 7.85684599e+01 1.06583480e+01 -9.02550249e-03
6.04089831e-01 1.08673233e+02 5.94428615e+00 -7.97141746e-03
7.95245476e-01 1.43061333e+02 3.33833880e+00 8.76517559e-03
1.00000000e+00 1.79895815e+02 -4.05800157e-02 1.29456128e-02
1.20475452e+00 2.16730297e+02 -3.33087404e+00 2.07107372e-04
1.39591017e+00 2.51118398e+02 -5.97816576e+00 -7.49327858e-03
1.56325577e+00 2.81223171e+02 -1.06081344e+01 1.29169584e-03
1.70170710e+00 3.06129985e+02 -1.82531199e+01 1.67294426e-03
1.81099590e+00 3.25790583e+02 -3.93804091e+01 -2.31344430e-02
1.89410886e+00 3.40742257e+02 -1.04841722e+02 -8.10560472e-03
1.95554139e+00 3.51793712e+02 -1.64582229e+02 8.71696033e-03
2.00000000e+00 3.59791631e+02 -1.80123297e+02 8.62073836e-03
