init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
0 1.58957719e-01 3.77154e-04 0.00000e+00 2.22353e-03 9.45340e+01
10 1.27612247e+00 3.68163e-04 3.73016e-03 2.84596e-06 9.67216e+01
20 2.39497915e+00 3.65498e-04 7.39457e-03 2.54594e-06 9.72260e+01
30 3.52748301e+00 3.65549e-04 1.10482e-02 2.42725e-06 9.71501e+01
40 4.62503213e+00 3.67578e-04 1.47216e-02 2.51375e-06 9.67358e+01
50 5.74252342e+00 3.63780e-04 1.83936e-02 2.69527e-06 9.79503e+01
60 6.88702361e+00 3.58799e-04 2.20049e-02 2.50666e-06 9.91651e+01
70 8.03753846e+00 3.61864e-04 2.55957e-02 2.56027e-06 9.79703e+01
80 9.16551639e+00 3.64219e-04 2.92501e-02 3.01659e-06 9.78103e+01
90 1.02808168e+01 3.62489e-04 3.28736e-02 2.86138e-06 9.79237e+01
100 1.13989818e+01 3.59159e-04 3.65020e-02 3.03934e-06 9.91331e+01
110 1.25171421e+01 3.58699e-04 4.00848e-02 3.17130e-06 9.89894e+01
120 1.36655076e+01 3.67986e-04 4.37050e-02 3.78901e-06 9.63588e+01
130 1.47900484e+01 3.62146e-04 4.73695e-02 3.58071e-06 9.83330e+01
140 1.59233929e+01 3.59960e-04 5.09738e-02 3.80826e-06 9.86897e+01
150 1.70489666e+01 3.65998e-04 5.45952e-02 4.33200e-06 9.72321e+01
160 1.81797775e+01 3.66874e-04 5.82507e-02 4.49807e-06 9.69187e+01
170 1.93014642e+01 3.67293e-04 6.19219e-02 4.51126e-06 9.69793e+01
180 2.04281163e+01 3.64569e-04 6.55762e-02 4.68165e-06 9.75133e+01
190 2.15592791e+01 3.65784e-04 6.92203e-02 5.10194e-06 9.69993e+01
200 2.26856985e+01 3.67060e-04 7.28862e-02 5.30651e-06 9.67375e+01
210 2.38089043e+01 3.71555e-04 7.65818e-02 5.62309e-06 9.58964e+01
220 2.49364530e+01 3.66772e-04 8.02684e-02 5.73256e-06 9.70117e+01
230 2.60527102e+01 3.67250e-04 8.39325e-02 6.17406e-06 9.66812e+01
240 2.71711061e+01 3.67156e-04 8.76119e-02 6.31752e-06 9.69588e+01
250 2.82859602e+01 3.64955e-04 9.12674e-02 6.65339e-06 9.73448e+01
260 2.94011083e+01 3.70377e-04 9.49358e-02 7.33506e-06 9.59760e+01
270 3.05185478e+01 3.70829e-04 9.86418e-02 7.33406e-06 9.58471e+01
280 3.16428210e+01 3.67879e-04 1.02334e-01 7.38817e-06 9.66217e+01
290 3.27629777e+01 3.65901e-04 1.06015e-01 7.33125e-06 9.72742e+01
300 3.39518022e+01 3.66539e-04 1.09667e-01 7.74835e-06 9.68000e+01
