init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
730 8.04667605e+01 3.46281e-04 2.65061e-01 3.00426e-05 1.01365e+02
740 8.15610768e+01 3.44366e-04 2.68518e-01 2.41852e-05 1.02879e+02
750 8.26493614e+01 3.44999e-04 2.72002e-01 2.39462e-05 1.03252e+02
760 8.37363952e+01 3.40620e-04 2.75435e-01 2.61609e-05 1.04836e+02
770 8.48190730e+01 3.34084e-04 2.78790e-01 2.36758e-05 1.06418e+02
780 8.59088625e+01 3.32534e-04 2.82109e-01 2.45220e-05 1.06498e+02
790 8.70064964e+01 3.12649e-04 2.85377e-01 2.35731e-05 1.13928e+02
800 8.81041069e+01 3.22450e-04 2.88524e-01 2.37441e-05 1.10119e+02
810 8.91896939e+01 3.33682e-04 2.91755e-01 3.37470e-05 1.07945e+02
820 9.02794093e+01 3.07699e-04 2.94926e-01 2.87199e-05 1.15012e+02
830 9.13720852e+01 3.03811e-04 2.97971e-01 3.05080e-05 1.16231e+02
840 9.24631507e+01 3.03320e-04 3.01058e-01 2.84157e-05 1.17292e+02
850 9.35560033e+01 3.20158e-04 3.04113e-01 4.66200e-05 1.09100e+02
860 9.46409261e+01 3.05082e-04 3.07257e-01 3.16442e-05 1.16375e+02
870 9.57306143e+01 3.00878e-04 3.10265e-01 3.30259e-05 1.17052e+02
880 9.68222144e+01 2.99460e-04 3.13329e-01 3.46008e-05 1.20191e+02
890 9.79129849e+01 2.83923e-04 3.16220e-01 2.44884e-05 1.26060e+02
900 9.90140749e+01 2.76843e-04 3.18988e-01 2.98660e-05 1.26880e+02
910 1.00112067e+02 2.99799e-04 3.21895e-01 2.55280e-05 1.18696e+02
920 1.01209172e+02 2.96493e-04 3.24880e-01 3.21347e-05 1.19259e+02
930 1.02312637e+02 2.93730e-04 3.27823e-01 3.40784e-05 1.19663e+02
940 1.03412740e+02 2.66101e-04 3.30619e-01 2.43890e-05 1.33386e+02
950 1.04517867e+02 2.82528e-04 3.33343e-01 2.97034e-05 1.26054e+02
960 1.05612626e+02 2.82928e-04 3.36158e-01 3.31515e-05 1.24901e+02
970 1.06704531e+02 2.68704e-04 3.38904e-01 2.90188e-05 1.30583e+02
980 1.07799573e+02 2.78291e-04 3.41577e-01 4.57495e-05 1.21524e+02
990 1.08903695e+02 2.78829e-04 3.44431e-01 2.47156e-05 1.27747e+02
1000 1.09998385e+02 2.72929e-04 3.47178e-01 1.93275e-05 1.28677e+02
1010 1.11082779e+02 2.67304e-04 3.49920e-01 3.22450e-05 1.33144e+02
1020 1.12172451e+02 2.63021e-04 3.52568e-01 2.47751e-05 1.34577e+02
1030 1.13267114e+02 2.69925e-04 3.55233e-01 2.56303e-05 1.30050e+02
1040 1.14373427e+02 2.70567e-04 3.57967e-01 3.31244e-05 1.30884e+02
1050 1.15457152e+02 2.41965e-04 3.60579e-01 3.53409e-05 1.47478e+02
1060 1.16539711e+02 2.36028e-04 3.62940e-01 2.45140e-05 1.48502e+02
1070 1.17635749e+02 2.61590e-04 3.65416e-01 2.95668e-05 1.34673e+02
1080 1.18724167e+02 2.62551e-04 3.68053e-01 2.83814e-05 1.35201e+02
1090 1.19816974e+02 2.55326e-04 3.70703e-01 3.61995e-05 1.40905e+02
1100 1.20902802e+02 2.40974e-04 3.73161e-01 2.10284e-05 1.47041e+02
1110 1.21988378e+02 2.62870e-04 3.75638e-01 2.65511e-05 1.32766e+02
1120 1.23080766e+02 2.56363e-04 3.78272e-01 2.34623e-05 1.38179e+02
1130 1.24170828e+02 2.62058e-04 3.80859e-01 2.71251e-05 1.31812e+02
1140 1.25263635e+02 2.63743e-04 3.83518e-01 2.24058e-05 1.31100e+02
1150 1.26357332e+02 2.80862e-04 3.86244e-01 2.41250e-05 1.24795e+02
1160 1.27450839e+02 2.57852e-04 3.89002e-01 1.98234e-05 1.38037e+02
1170 1.28549117e+02 2.65134e-04 3.91563e-01 2.74854e-05 1.32259e+02
1180 1.29639544e+02 2.63283e-04 3.94221e-01 1.89123e-05 1.34384e+02
1190 1.30733546e+02 2.66162e-04 3.96881e-01 2.01720e-05 1.32177e+02
1200 1.31824390e+02 2.65237e-04 3.99572e-01 1.96117e-05 1.34045e+02
1210 1.32913758e+02 2.61377e-04 4.02204e-01 1.87017e-05 1.35516e+02
1220 1.34010402e+02 2.67924e-04 4.04818e-01 2.69137e-05 1.31357e+02
1230 1.35109625e+02 2.52386e-04 4.07428e-01 1.44277e-05 1.41093e+02
1240 1.36685483e+02 2.60555e-04 4.09964e-01 2.25111e-05 1.34998e+02
1250 1.40633066e+02 2.64003e-04 4.12613e-01 2.05947e-05 1.33950e+02
1260 1.44530389e+02 2.46615e-04 4.15238e-01 3.00251e-05 1.45966e+02
1270 1.47107427e+02 2.28609e-04 4.17597e-01 1.42461e-05 1.55372e+02
1280 1.50354851e+02 2.44224e-04 4.19922e-01 1.96971e-05 1.43095e+02
1290 1.54944625e+02 2.47140e-04 4.22470e-01 2.75488e-05 1.45213e+02
1300 1.58156857e+02 2.48212e-04 4.24901e-01 1.98281e-05 1.41371e+02
1310 1.59560105e+02 2.41874e-04 4.27457e-01 2.82075e-05 1.48334e+02
1320 1.60869082e+02 2.36089e-04 4.29810e-01 1.72583e-05 1.48966e+02
1330 1.62097397e+02 2.61170e-04 4.32312e-01 2.20681e-05 1.37324e+02
1340 1.63359239e+02 2.63729e-04 4.34900e-01 1.69405e-05 1.34113e+02
1350 1.64499187e+02 2.40137e-04 4.37415e-01 1.27604e-05 1.47640e+02
1360 1.65877487e+02 2.47204e-04 4.39854e-01 1.25386e-05 1.42948e+02
1370 1.67071020e+02 2.63074e-04 4.42392e-01 1.55351e-05 1.35353e+02
1380 1.68674304e+02 2.36070e-04 4.44905e-01 1.85136e-05 1.50818e+02
1390 1.70336712e+02 2.54032e-04 4.47298e-01 3.65761e-05 1.37039e+02
1400 1.71516492e+02 2.36600e-04 4.49781e-01 1.89973e-05 1.50070e+02
1410 1.72545825e+02 2.42704e-04 4.52160e-01 1.98155e-05 1.47208e+02
1420 1.73660522e+02 2.54522e-04 4.54593e-01 3.08079e-05 1.37047e+02
1430 1.74797330e+02 2.52967e-04 4.57180e-01 2.14358e-05 1.39698e+02
1440 1.76349209e+02 2.53573e-04 4.59715e-01 2.20956e-05 1.39805e+02
1450 1.77565994e+02 2.68394e-04 4.62315e-01 2.61725e-05 1.30831e+02
1460 1.79124129e+02 2.69521e-04 4.65019e-01 2.32321e-05 1.31201e+02
1470 1.83711996e+02 2.74198e-04 4.67750e-01 2.13958e-05 1.29827e+02
1480 1.86399686e+02 2.55878e-04 4.70422e-01 1.70077e-05 1.39450e+02
1490 1.87638218e+02 2.59817e-04 4.72975e-01 1.75169e-05 1.35694e+02
1500 1.90006664e+02 2.86047e-04 4.75690e-01 1.78636e-05 1.24497e+02
1510 1.91166474e+02 2.85441e-04 4.78538e-01 2.12697e-05 1.24380e+02
1520 1.92451343e+02 2.71699e-04 4.81339e-01 2.15991e-05 1.30069e+02
1530 1.93554417e+02 2.79176e-04 4.84052e-01 2.61227e-05 1.27693e+02
1540 1.94757699e+02 2.79253e-04 4.86815e-01 1.96244e-05 1.26041e+02
1550 1.96098370e+02 2.89547e-04 4.89681e-01 2.14338e-05 1.23787e+02
1560 1.97401921e+02 2.69433e-04 4.92461e-01 1.49546e-05 1.31848e+02
1570 1.98631419e+02 2.75455e-04 4.95163e-01 1.85338e-05 1.28261e+02
1580 1.99950916e+02 2.76459e-04 4.97950e-01 2.29787e-05 1.29055e+02
1590 2.01303468e+02 2.69262e-04 5.00666e-01 1.86424e-05 1.31470e+02
1600 2.02467301e+02 2.69248e-04 5.03349e-01 1.86429e-05 1.31258e+02
1610 2.03627204e+02 2.86812e-04 5.06137e-01 2.13651e-05 1.23162e+02
1620 2.04922592e+02 2.79810e-04 5.08961e-01 2.02099e-05 1.26329e+02
1630 2.08003495e+02 2.86956e-04 5.11775e-01 2.00597e-05 1.24280e+02
1640 2.11146967e+02 2.88267e-04 5.14645e-01 2.49473e-05 1.23579e+02
1650 2.12956308e+02 2.84636e-04 5.17490e-01 1.40758e-05 1.23294e+02
1660 2.14309948e+02 2.90217e-04 5.20382e-01 1.31818e-05 1.22343e+02
1670 2.15608276e+02 2.90715e-04 5.23288e-01 1.40459e-05 1.21854e+02
1680 2.16897931e+02 2.97078e-04 5.26238e-01 1.95437e-05 1.19354e+02
1690 2.18418796e+02 2.94420e-04 5.29200e-01 2.38693e-05 1.21286e+02
1700 2.19819137e+02 2.97409e-04 5.32138e-01 1.96755e-05 1.19968e+02
1710 2.21352320e+02 2.92865e-04 5.35073e-01 1.77802e-05 1.20738e+02
1720 2.22675681e+02 2.77366e-04 5.37975e-01 1.90640e-05 1.29077e+02
1730 2.24055723e+02 2.76568e-04 5.40707e-01 1.95282e-05 1.27234e+02
1740 2.25292858e+02 3.04239e-04 5.43618e-01 2.53799e-05 1.16587e+02
1750 2.26618618e+02 2.86753e-04 5.46607e-01 3.12330e-05 1.23277e+02
1760 2.29034170e+02 2.78001e-04 5.49396e-01 1.86902e-05 1.25529e+02
1770 2.31650144e+02 2.94643e-04 5.52288e-01 2.45903e-05 1.20951e+02
