init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
730 7.55017123e+01 3.83677e-04 2.75072e-01 3.41450e-05 9.26107e+01
740 7.65355812e+01 3.85509e-04 2.78918e-01 3.55488e-05 9.23110e+01
750 7.75662242e+01 3.81891e-04 2.82755e-01 3.58850e-05 9.31343e+01
760 7.86217535e+01 3.81878e-04 2.86571e-01 3.73377e-05 9.30470e+01
770 7.96560421e+01 3.82427e-04 2.90395e-01 3.86360e-05 9.29599e+01
780 8.06851200e+01 3.82690e-04 2.94221e-01 3.97109e-05 9.29104e+01
790 8.17324818e+01 3.82383e-04 2.98045e-01 4.05506e-05 9.29514e+01
800 8.27679311e+01 3.83428e-04 3.01872e-01 4.14332e-05 9.26705e+01
810 8.38048037e+01 3.84550e-04 3.05714e-01 4.21678e-05 9.24714e+01
820 8.48324182e+01 3.83966e-04 3.09556e-01 4.27160e-05 9.25860e+01
830 8.58681219e+01 3.73616e-04 3.13389e-01 4.11730e-05 9.59996e+01
840 8.69007621e+01 3.49806e-04 3.16985e-01 3.65757e-05 1.01234e+02
850 8.79340223e+01 3.54824e-04 3.20517e-01 3.84032e-05 1.00319e+02
860 8.89636294e+01 3.43849e-04 3.24070e-01 4.09107e-05 1.04402e+02
870 8.99969177e+01 3.22473e-04 3.27375e-01 3.37085e-05 1.09604e+02
880 9.10303054e+01 3.40946e-04 3.30651e-01 4.36784e-05 1.02094e+02
890 9.20630787e+01 3.46576e-04 3.34145e-01 4.06998e-05 1.02630e+02
900 9.30913094e+01 3.52333e-04 3.37616e-01 4.66410e-05 1.00089e+02
910 9.41246886e+01 3.58626e-04 3.41213e-01 4.66816e-05 9.93507e+01
920 9.51691949e+01 3.50223e-04 3.44782e-01 4.77992e-05 1.02434e+02
930 9.62071168e+01 3.28416e-04 3.48164e-01 4.22321e-05 1.08384e+02
940 9.72401565e+01 3.32522e-04 3.51445e-01 4.86436e-05 1.06211e+02
950 9.82797539e+01 3.49222e-04 3.54851e-01 5.78273e-05 1.00977e+02
960 9.93108700e+01 3.57565e-04 3.58366e-01 6.30343e-05 9.84971e+01
970 1.00340643e+02 3.63116e-04 3.62015e-01 6.37737e-05 9.79470e+01
980 1.01411116e+02 3.51726e-04 3.65585e-01 6.21730e-05 1.01054e+02
990 1.02444349e+02 3.43127e-04 3.69081e-01 6.03760e-05 1.04378e+02
1000 1.03475890e+02 3.23541e-04 3.72398e-01 5.52275e-05 1.09566e+02
